baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
4.5	3	Jefferson	[u'Single Family', u'Built in 2000', u'All time views: 2,030', u'Last sold: Mar 2016 for $276,100', u'Last sale price/sqft: $65', u'Floor size: 4,226 sqft', u'Parcel #: 09302-207-008', u'Zillow Home ID: 114795076']	http://photos2.zillowstatic.com/p_e/ISto6mig6ljq9o0000000000.jpg	276100.0	[]	4226.0	NC	489876.0	28640	114795076
4.0	4	Jefferson	[u'Baths: 3 full, 1 half', u'Lot: 1.5 acres', u'Single Family', u'Built in 2006', u'All time views: 2,182', u'Last sold: Feb 2016 for $359,000', u'Last sale price/sqft: $96', u'Floor size: 3,744 sqft', u'Parcel #: 09338-343-009', u'Zillow Home ID: 114795718']	http://photos1.zillowstatic.com/p_e/IS17mg512lgavg1000000000.jpg	359000.0	[]	3744.0	NC	443139.0	28640	114795718
2.0	3	Jefferson	[u'Single Family', u'Built in 1899', u'All time views: 920', u'Last sold: Jan 2016 for $149,500', u'Last sale price/sqft: $87', u'Floor size: 1,716 sqft', u'Zillow Home ID: 2100637848']	http://photos2.zillowstatic.com/p_e/IShvvggmtwjmsp1000000000.jpg	149500.0	[]	1716.0	NC	158355.0	28640	2100637848
2.5	3	Jefferson	[u'Lot: 0.64 acres', u'Single Family', u'Built in 2007', u'All time views: 2,892', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Dec 2015 for $215,000', u'Last sale price/sqft: $105', u'Cable Ready', u'Fireplace', u'Flooring: Hardwood', u'Lawn', u'Patio', u'Storage', u'Living room', u'Stainless steel appliances', u'Dishwasher', u'Master bath', u'Floor size: 2,045 sqft', u'Zillow Home ID: 2124903562']	http://photos2.zillowstatic.com/p_e/ISpt7fwmjxezvy0000000000.jpg	215000.0	[]	2045.0	NC	210438.0	28640	2124903562
2.0	3	Jefferson	[u'Lot: 1.13 acres', u'Single Family', u'Built in 1973', u'All time views: 2,523', u'Last sold: Nov 2015 for $148,000', u'Last sale price/sqft: $104', u'Floor size: 1,417 sqft', u'Parcel #: 09263-019', u'Zillow Home ID: 114794611']	http://photos3.zillowstatic.com/p_e/ISh7pzf5bjofo50000000000.jpg	148000.0	[]	1417.0	NC	128139.0	28640	114794611
2.0	3	Jefferson	[u'Lot: 0.7 acres', u'Single Family', u'Built in 2007', u'All time views: 1,762', u'Heating: Forced air', u'Last sold: Nov 2015 for $188,500', u'Last sale price/sqft: $140', u'Cable Ready', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Fireplace', u'Flooring: Carpet', u'Lawn', u'Parking: Off street', u'Porch', u'Vaulted Ceiling', u'Stainless steel appliances', u'Dishwasher', u'Walk-in closet', u'Exterior material: Wood', u'Stories: 1', u'Floor size: 1,348 sqft', u'Parcel #: 14379-153-025', u'Zillow Home ID: 114786645']	http://photos3.zillowstatic.com/p_e/IStg43ceo19r071000000000.jpg	188500.0	[]	1348.0	NC	180759.0	28640	114786645
4.5	5	Jefferson	[u'Baths: 4 full, 1 half', u'Lot: 1.08 acres', u'Single Family', u'Built in 2007', u'All time views: 2,829', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: Nov 2015 for $577,500', u'Last sale price/sqft: $147', u'Flooring: Hardwood, Tile', u'Parking: Garage - Attached', u'View: Mountain', u'Dishwasher', u'Dryer', u'Garbage disposal', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Exterior material: Stone, Wood', u'Roof type: Asphalt', u'Structure type: Other', u'Floor size: 3,928 sqft', u'Heating: Electric, Gas', u'Laundry: In Unit', u'Zillow Home ID: 2112934194']	http://photos3.zillowstatic.com/p_e/IStwkqhwe2luzh0000000000.jpg	577500.0	[]	3928.0	NC	490218.0	28640	2112934194
2.0	2	Jefferson	[u'Lot: 0.37 acres', u'Single Family', u'Built in 1991', u'All time views: 798', u'Last sold: Nov 2015 for $155,000', u'Last sale price/sqft: $105', u'Floor size: 1,475 sqft', u'Parcel #: 09302-207-051', u'Zillow Home ID: 114795073']	http://photos1.zillowstatic.com/p_e/IS9d8kydqz1vh20000000000.jpg	155000.0	[]	1475.0	NC	130460.0	28640	114795073
3.5	4	Jefferson	[u'Baths: 3 full, 1 half', u'Lot: 0.97 acres', u'Single Family', u'Built in 1997', u'All time views: 1,305', u'Last sold: Nov 2015 for $320,002', u'Last sale price/sqft: $108', u'Floor size: 2,961 sqft', u'Parcel #: 09263-001-676', u'Zillow Home ID: 114794552']	http://photos2.zillowstatic.com/p_e/IShr49p1ig3ko70000000000.jpg	320002.0	[]	2961.0	NC	308369.0	28640	114794552
2.0	2	Jefferson	[u'Lot: 6.06 acres', u'Single Family', u'Built in 1950', u'All time views: 3,597', u'Last sold: Oct 2015 for $150,650', u'Last sale price/sqft: $113', u'Floor size: 1,333 sqft', u'Zillow Home ID: 2139924666']	http://photos2.zillowstatic.com/p_e/IS17ixrm9k13fu0000000000.jpg	150650.0	[]	1333.0	NC	139542.0	28640	2139924666
1.5	3	Jefferson	[u'Baths: 1 full, 1 half', u'Single Family', u'Built in 1955', u'All time views: 329', u'Last sold: Oct 2015 for $125,000', u'Last sale price/sqft: $81', u'Floor size: 1,536 sqft', u'Parcel #: 09263-001-346', u'Zillow Home ID: 114794397']	http://photos3.zillowstatic.com/p_e/ISx35m2u4azeil1000000000.jpg	125000.0	[]	1536.0	NC	139138.0	28640	114794397
2.0	3	Jefferson	[u'Lot: 0.26 acres', u'Single Family', u'Built in 1996', u'Last sold: Sep 2015 for $205,000', u'Last sale price/sqft: $150', u'Floor size: 1,368 sqft', u'Parcel #: 09302-367-012A', u'Zillow Home ID: 114795176']	http://photos2.zillowstatic.com/p_e/ISp9wcfosb0np00000000000.jpg	205000.0	[]	1368.0	NC	236651.0	28640	114795176
1.0	3	Jefferson	[u'Single Family', u'Built in 1952', u'All time views: 673', u'Last sold: Sep 2015 for $101,000', u'Last sale price/sqft: $64', u'Floor size: 1,588 sqft', u'Parcel #: 09263-001-302', u'Zillow Home ID: 114794371']	http://photos1.zillowstatic.com/p_e/IS1j3q1e5yztrr0000000000.jpg	101000.0	[]	1588.0	NC	144720.0	28640	114794371
1.0	2	Jefferson	[u'Lot: 1 acre', u'Single Family', u'Built in 1976', u'All time views: 1,083', u'Last sold: Jul 2016 for $79,000', u'Last sale price/sqft: $77', u'Floor size: 1,025 sqft', u'Zillow Home ID: 2099288678']	http://photos2.zillowstatic.com/p_e/ISpdjhlntdm2fm1000000000.jpg	79000.0	[]	1025.0	NC	117770.0	28640	2099288678
