baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
2.0	3	Seven Springs	[u'Lot: 1.04 acres', u'Single Family', u'Built in 1966', u'All time views: 549', u'Last sold: Mar 2014 for $90,000', u'Last sale price/sqft: $64', u'Floor size: 1,400 sqft', u'Zillow Home ID: 2110295430']	http://photos2.zillowstatic.com/p_e/ISp5dba3vxy9co1000000000.jpg	90000.0	[]	1400.0	NC	79127.0	28578	2110295430
2.0	3	Seven Springs	[u'Lot: 0.3 acres', u'Single Family', u'Built in 1999', u'All time views: 1,385', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $127,000', u'Last sale price/sqft: $96', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Parking: Garage - Attached', u'Type: Ranch', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Air Conditioning: Central Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Pull Down Stairs', u'Basement: None', u'Appliances: Dishwasher', u'Appliances: Range', u'Appliances: Refrigerator', u'Ceiling Fan', u'Fireplace', u'Fenced Yard', u'Property Type: Residential', u'Apx Age: 11-20', u'Construction: Vinyl Siding', u'Sewer: Septic Tank', u'Driveway Type: Concrete Drive', u'Double Pane Windows', u'Walk-in Closet(s)', u'Location Description: None', u'Patio', u'Outbuildings: None', u'Great Room', u'Property Status: Contingent', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,321 sqft', u'Heating: Electric', u'Zillow Home ID: 2101483069']	http://photos2.zillowstatic.com/p_e/IShjmda8muy05s0000000000.jpg	127000.0	[]	1321.0	NC	128158.0	28578	2101483069
2.0	3	Seven Springs	[u'Lot: 0.41 acres', u'Single Family', u'Built in 2001', u'All time views: 2,488', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $194,000', u'Last sale price/sqft: $145', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Linoleum / Vinyl', u'Hot Tub/Spa', u'Lawn', u'Parking: Carport, 2 spaces', u'Pool', u'Porch', u'Storage', u'Vaulted Ceiling', u'Type: Ranch', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Pull Down Stairs', u'Basement: None', u'Appliances: Dishwasher', u'Appliances: Range', u'Appliances: Refrigerator', u'Ceiling Fan', u'Property Type: Residential', u'Apx Age: 11-20', u'Construction: Vinyl Siding', u'Heating System: Central', u'Air Conditioning: Central Electric', u'Sewer: Septic Tank', u'Driveway Type: Concrete Drive', u'Location Description: Level Lot', u'Outbuildings: Wired', u'Outbuildings: Plumbed', u'Appliances: Microwave', u'Patio', u'Swimming Pool', u'Outbuildings: Frame', u'Property Status: Contingent', u'Construction: Frame', u'Outbuildings: Finished', u'Hot Tub', u'Hot Tub', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Family room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Shingle, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,334 sqft', u'Heating: Electric', u'Zillow Home ID: 2101352876']	http://photos2.zillowstatic.com/p_e/IShjqodta4977r1000000000.jpg	194000.0	[]	1334.0	NC	125062.0	28578	2101352876
2.0	3	Seven Springs	[u'Lot: 1.07 acres', u'Single Family', u'Built in 1996', u'All time views: 642', u'Cooling: Central', u'Last sold: Apr 2016 for $59,000', u'Last sale price/sqft: $44', u'Exterior material: Other', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Floor size: 1,350 sqft', u'Heating: Electric', u'Parcel #: 355300536939', u'Zillow Home ID: 107021024']	http://photos2.zillowstatic.com/p_e/ISdksn1f19qdp60000000000.jpg	59000.0	[]	1350.0	NC	56947.0	28578	107021024
2.0	3	Seven Springs	[u'Lot: 0.54 acres', u'Single Family', u'Built in 1999', u'All time views: 2,426', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $134,000', u'Last sale price/sqft: $93', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood', u'Parking: Garage - Attached, 2 spaces', u'Vaulted Ceiling', u'Wired', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Family room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,446 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2146554248']	http://photos2.zillowstatic.com/p_e/ISt8iovrscg77o0000000000.jpg	134000.0	[]	1446.0	NC	136575.0	28578	2146554248
2.0	3	Seven Springs	[u'Lot: 1 acre', u'Single Family', u'Built in 1994', u'All time views: 610', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2015 for $80,000', u'Last sale price/sqft: $44', u'Fireplace', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,809 sqft', u'Parcel #: 033523596561', u'Zillow Home ID: 78377742']	http://photos3.zillowstatic.com/p_e/ISle1hodj5h5vm1000000000.jpg	80000.0	[]	1809.0	NC	81376.0	28578	78377742
2.0	4	Seven Springs	[u'Lot: 4 acres', u'Single Family', u'Built in 2005', u'All time views: 1,900', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $129,500', u'Last sale price/sqft: $73', u'Fireplace', u'Flooring: Carpet', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 400 sqft garage', u'Patio', u'Porch', u'Wired', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 10', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,782 sqft', u'Heating: Electric', u'Laundry: In Unit, Shared', u'Parcel #: 355200559186', u'Zillow Home ID: 107020947']	http://photos3.zillowstatic.com/p_e/IS5eaju967jyej1000000000.jpg	129500.0	[]	1782.0	NC	106294.0	28578	107020947
2.0	3	Seven Springs	[u'Single Family', u'Built in 2000', u'All time views: 1,060', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2015 for $144,000', u'Last sale price/sqft: $99', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Dishwasher', u'Microwave', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Structure type: Ranch', u'Floor size: 1,457 sqft', u'Heating: Electric', u'Zillow Home ID: 2105016834']	http://photos2.zillowstatic.com/p_e/ISdkwq6cqh5zs91000000000.jpg	144000.0	[]	1457.0	NC	136557.0	28578	2105016834
2.0	3	Seven Springs	[u'Lot: 4.8 acres', u'Single Family', u'Built in 2000', u'All time views: 944', u'Last sold: Dec 2014 for $275,000', u'Last sale price/sqft: $153', u'Parking: Garage - Attached, 400 sqft garage', u'Exterior material: Other', u'Foundation type: Other', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Floor size: 1,792 sqft', u'Heating: Electric', u'Parcel #: 356200404322', u'Zillow Home ID: 107021751']	http://photos2.zillowstatic.com/p_e/IS564x657g0xhb0000000000.jpg	275000.0	[]	1792.0	NC	114502.0	28578	107021751
2.0	3	Seven Springs	[u'Single Family', u'Built in 2007', u'All time views: 1,787', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2014 for $132,000', u'Last sale price/sqft: $104', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Parking: Garage - Attached', u'Security System', u'Exterior material: Shingle', u'Roof type: Other', u'Structure type: Other', u'Floor size: 1,275 sqft', u'Heating: Electric', u'Zillow Home ID: 2108081025']	http://photos3.zillowstatic.com/p_e/ISliwzad52ol5e0000000000.jpg	132000.0	[]	1275.0	NC	80076.0	28578	2108081025
2.5	4	Seven Springs	[u'Lot: 10 acres', u'Single Family', u'Built in 2010', u'All time views: 2,451', u'Last sold: May 2014 for $400,000', u'Last sale price/sqft: $133', u'Floor size: 3,005 sqft', u'Zillow Home ID: 2119013464']	http://photos1.zillowstatic.com/p_e/IS-8v5vk258x6xp.jpg	400000.0	[]	3005.0	NC	299621.0	28578	2119013464
2.0	3	Seven Springs	[u'Lot: 1.04 acres', u'Single Family', u'Built in 1966', u'All time views: 551', u'Last sold: Mar 2014 for $90,000', u'Last sale price/sqft: $64', u'Floor size: 1,400 sqft', u'Zillow Home ID: 2110295430']	http://photos2.zillowstatic.com/p_e/ISp5dba3vxy9co1000000000.jpg	90000.0	[]	1400.0	NC	79127.0	28578	2110295430
2.0	3	Seven Springs	[u'Lot: 0.3 acres', u'Single Family', u'Built in 1999', u'All time views: 1,387', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $127,000', u'Last sale price/sqft: $96', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Parking: Garage - Attached', u'Type: Ranch', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Air Conditioning: Central Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Pull Down Stairs', u'Basement: None', u'Appliances: Dishwasher', u'Appliances: Range', u'Appliances: Refrigerator', u'Ceiling Fan', u'Fireplace', u'Fenced Yard', u'Property Type: Residential', u'Apx Age: 11-20', u'Construction: Vinyl Siding', u'Sewer: Septic Tank', u'Driveway Type: Concrete Drive', u'Double Pane Windows', u'Walk-in Closet(s)', u'Location Description: None', u'Patio', u'Outbuildings: None', u'Great Room', u'Property Status: Contingent', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,321 sqft', u'Heating: Electric', u'Zillow Home ID: 2101483069']	http://photos2.zillowstatic.com/p_e/IShjmda8muy05s0000000000.jpg	127000.0	[]	1321.0	NC	128158.0	28578	2101483069
2.0	3	Seven Springs	[u'Lot: 0.41 acres', u'Single Family', u'Built in 2001', u'All time views: 2,482', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jun 2016 for $194,000', u'Last sale price/sqft: $145', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Flooring: Carpet, Linoleum / Vinyl', u'Hot Tub/Spa', u'Lawn', u'Parking: Carport, 2 spaces', u'Pool', u'Porch', u'Storage', u'Vaulted Ceiling', u'Type: Ranch', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Pull Down Stairs', u'Basement: None', u'Appliances: Dishwasher', u'Appliances: Range', u'Appliances: Refrigerator', u'Ceiling Fan', u'Property Type: Residential', u'Apx Age: 11-20', u'Construction: Vinyl Siding', u'Heating System: Central', u'Air Conditioning: Central Electric', u'Sewer: Septic Tank', u'Driveway Type: Concrete Drive', u'Location Description: Level Lot', u'Outbuildings: Wired', u'Outbuildings: Plumbed', u'Appliances: Microwave', u'Patio', u'Swimming Pool', u'Outbuildings: Frame', u'Property Status: Contingent', u'Construction: Frame', u'Outbuildings: Finished', u'Hot Tub', u'Hot Tub', u'Dishwasher', u'Microwave', u'Range / Oven', u'Refrigerator', u'Family room', u'Master bath', u'Walk-in closet', u'Workshop', u'Exterior material: Shingle, Vinyl', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,334 sqft', u'Heating: Electric', u'Zillow Home ID: 2101352876']	http://photos2.zillowstatic.com/p_e/IShjqodta4977r1000000000.jpg	194000.0	[]	1334.0	NC	125062.0	28578	2101352876
2.0	3	Seven Springs	[u'Lot: 1.07 acres', u'Single Family', u'Built in 1996', u'All time views: 645', u'Cooling: Central', u'Last sold: Apr 2016 for $59,000', u'Last sale price/sqft: $44', u'Exterior material: Other', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 5', u'Stories: 1', u'Floor size: 1,350 sqft', u'Heating: Electric', u'Parcel #: 355300536939', u'Zillow Home ID: 107021024']	http://photos2.zillowstatic.com/p_e/ISdksn1f19qdp60000000000.jpg	59000.0	[]	1350.0	NC	56947.0	28578	107021024
2.0	3	Seven Springs	[u'Lot: 0.54 acres', u'Single Family', u'Built in 1999', u'All time views: 2,431', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Feb 2016 for $134,000', u'Last sale price/sqft: $93', u'Ceiling Fan', u'Deck', u'Fenced Yard', u'Fireplace', u'Flooring: Hardwood', u'Parking: Garage - Attached, 2 spaces', u'Vaulted Ceiling', u'Wired', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Family room', u'Walk-in closet', u'Exterior material: Vinyl', u'Roof type: Asphalt', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,446 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2146554248']	http://photos2.zillowstatic.com/p_e/ISt8iovrscg77o0000000000.jpg	134000.0	[]	1446.0	NC	136575.0	28578	2146554248
2.0	3	Seven Springs	[u'Lot: 1 acre', u'Single Family', u'Built in 1994', u'All time views: 613', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Dec 2015 for $80,000', u'Last sale price/sqft: $44', u'Fireplace', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,809 sqft', u'Parcel #: 033523596561', u'Zillow Home ID: 78377742']	http://photos3.zillowstatic.com/p_e/ISle1hodj5h5vm1000000000.jpg	80000.0	[]	1809.0	NC	81376.0	28578	78377742
2.0	4	Seven Springs	[u'Lot: 4 acres', u'Single Family', u'Built in 2005', u'All time views: 1,904', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2015 for $129,500', u'Last sale price/sqft: $73', u'Fireplace', u'Flooring: Carpet', u'Lawn', u'Parking: Garage - Attached, 2 spaces, 400 sqft garage', u'Patio', u'Porch', u'Wired', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Exterior material: Vinyl', u'Foundation type: Other', u'Roof type: Asphalt', u'Room count: 10', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,782 sqft', u'Heating: Electric', u'Laundry: In Unit, Shared', u'Parcel #: 355200559186', u'Zillow Home ID: 107020947']	http://photos3.zillowstatic.com/p_e/IS5eaju967jyej1000000000.jpg	129500.0	[]	1782.0	NC	106294.0	28578	107020947
2.0	3	Seven Springs	[u'Single Family', u'Built in 2000', u'All time views: 1,064', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2015 for $144,000', u'Last sale price/sqft: $99', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached, 2 spaces', u'Dishwasher', u'Microwave', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Other', u'Room count: 7', u'Structure type: Ranch', u'Floor size: 1,457 sqft', u'Heating: Electric', u'Zillow Home ID: 2105016834']	http://photos2.zillowstatic.com/p_e/ISdkwq6cqh5zs91000000000.jpg	144000.0	[]	1457.0	NC	136557.0	28578	2105016834
2.0	3	Seven Springs	[u'Lot: 4.8 acres', u'Single Family', u'Built in 2000', u'All time views: 949', u'Last sold: Dec 2014 for $275,000', u'Last sale price/sqft: $153', u'Parking: Garage - Attached, 400 sqft garage', u'Exterior material: Other', u'Foundation type: Other', u'Roof type: Other', u'Room count: 6', u'Stories: 1', u'Floor size: 1,792 sqft', u'Heating: Electric', u'Parcel #: 356200404322', u'Zillow Home ID: 107021751']	http://photos2.zillowstatic.com/p_e/IS564x657g0xhb0000000000.jpg	275000.0	[]	1792.0	NC	114502.0	28578	107021751
2.0	3	Seven Springs	[u'Single Family', u'Built in 2007', u'All time views: 1,791', u'Cooling: Central', u'Heating: Other', u'Last sold: Aug 2014 for $132,000', u'Last sale price/sqft: $104', u'Attic', u'Ceiling Fan', u'Deck', u'Fireplace', u'Parking: Garage - Attached', u'Security System', u'Exterior material: Shingle', u'Roof type: Other', u'Structure type: Other', u'Floor size: 1,275 sqft', u'Heating: Electric', u'Zillow Home ID: 2108081025']	http://photos3.zillowstatic.com/p_e/ISliwzad52ol5e0000000000.jpg	132000.0	[]	1275.0	NC	80076.0	28578	2108081025
2.5	4	Seven Springs	[u'Lot: 10 acres', u'Single Family', u'Built in 2010', u'All time views: 2,454', u'Last sold: May 2014 for $400,000', u'Last sale price/sqft: $133', u'Floor size: 3,005 sqft', u'Zillow Home ID: 2119013464']	http://photos1.zillowstatic.com/p_e/IS-8v5vk258x6xp.jpg	400000.0	[]	3005.0	NC	299621.0	28578	2119013464
2.0	3	Seven Springs	[u'Lot: 1.04 acres', u'Single Family', u'Built in 1966', u'All time views: 550', u'Last sold: Mar 2014 for $90,000', u'Last sale price/sqft: $64', u'Floor size: 1,400 sqft', u'Zillow Home ID: 2110295430']	http://photos2.zillowstatic.com/p_e/ISp5dba3vxy9co1000000000.jpg	90000.0	[]	1400.0	NC	79127.0	28578	2110295430
2.0	3	Seven Springs	[u'Lot: 0.3 acres', u'Single Family', u'Built in 1999', u'All time views: 1,386', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Aug 2016 for $127,000', u'Last sale price/sqft: $96', u'Ceiling Fan', u'Double Pane/Storm Windows', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Laminate, Tile', u'Parking: Garage - Attached', u'Type: Ranch', u'Foundation: Crawl Space', u'Roof: Shingle Composition', u'Heating System: Electric Heat Pump', u'Air Conditioning: Central Electric Heat Pump', u'Water Heater: Electric', u'Water: Public Water', u'Attic: Pull Down Stairs', u'Basement: None', u'Appliances: Dishwasher', u'Appliances: Range', u'Appliances: Refrigerator', u'Ceiling Fan', u'Fireplace', u'Fenced Yard', u'Property Type: Residential', u'Apx Age: 11-20', u'Construction: Vinyl Siding', u'Sewer: Septic Tank', u'Driveway Type: Concrete Drive', u'Double Pane Windows', u'Walk-in Closet(s)', u'Location Description: None', u'Patio', u'Outbuildings: None', u'Great Room', u'Property Status: Contingent', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Structure type: Ranch', u'Floor size: 1,321 sqft', u'Heating: Electric', u'Zillow Home ID: 2101483069']	http://photos2.zillowstatic.com/p_e/IShjmda8muy05s0000000000.jpg	127000.0	[]	1321.0	NC	128158.0	28578	2101483069
