baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.0	3	Castalia	[u'Lot: 1.8 acres', u'Single Family', u'Built in 1960', u'All time views: 1,023', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: May 2015 for $85,000', u'Last sale price/sqft: $59', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Carport, 2 spaces', u'Pond', u'Construction: Site Built', u'Views: Neighborhood', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'Foundation: Crawl Space', u'Paved Road', u'Misc Info: None', u'Views: Country', u'Water Amenities: None', u'Basement: None', u'Style: Ranch', u'Style: 1 Story', u'None', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Family room', u'Laundry room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,431 sqft', u'Heating: Gas', u'Last remodel year: 1965', u'Parcel #: 014645', u'Zillow Home ID: 49962512']	http://photos1.zillowstatic.com/p_e/ISdcend6h5n3sd1000000000.jpg	85000.0	[]	1431.0	NC	84930.0	27816	49962512
2.0	3	Castalia	[u'Lot: 4 acres', u'Single Family', u'Built in 2006', u'All time views: 968', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2015 for $159,900', u'Last sale price/sqft: $85', u'Flooring: Carpet, Tile', u'Parking: Carport', u'Dishwasher', u'Range / Oven', u'Dining room', u'Office', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,890 sqft', u'Parcel #: 287300-76-7984', u'Zillow Home ID: 111321737']	http://photos3.zillowstatic.com/p_e/ISle9nmajgnksy0000000000.jpg	159900.0	[]	1890.0	NC	114101.0	27816	111321737
12.0	3	Castalia	[u'Baths: 2 full, 20 half', u'Lot: 0.75 acres', u'Single Family', u'Built in 2013', u'All time views: 1,649', u'Cooling: Central, None', u'Heating: Heat pump', u'Last sold: Jul 2016 for $124,900', u'Last sale price/sqft: $65', u'Deck', u'Flooring: Carpet', u'Parking: Garage - Attached', u'Porch', u'Appliances: Oven - Electric', u'Water Heater: Electric', u'Fencing: None', u'Foundation: Crawl Space', u'Lot Description: Cul-de-Sac Lot', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Water: Well Water', u'Rooms: Kitchen', u'Attic: None', u'Fuel Tank: None', u'Road Type: See Remarks', u'None', u'Construction: See Remarks', u'Fireplace: None', u'Parking: Unpaved', u'Heating System: Other-See Remarks', u'Walk-In Closet', u'Roof: Composition', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,907 sqft', u'Zillow Home ID: 2099186349']	http://photos2.zillowstatic.com/p_e/ISpl5squug28tb1000000000.jpg	124900.0	[]	1907.0	NC	135244.0	27816	2099186349
2.5	3	Castalia	[u'Lot: 22 acres', u'Single Family', u'Built in 1990', u'All time views: 1,396', u'Heating: Other', u'Last sold: Oct 2015 for $380,000', u'Last sale price/sqft: $123', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 596 sqft garage', u'Pool', u'Exterior material: Stone', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Unit count: 1', u'Floor size: 3,102 sqft', u'Last remodel year: 1995', u'Parcel #: 037005', u'Zillow Home ID: 49951423']	http://photos1.zillowstatic.com/p_e/ISdcyir5x1ux4i0000000000.jpg	380000.0	[]	3102.0	NC	389542.0	27816	49951423
1.5	3	Castalia	[u'Baths: 1 full, 1 half', u'Lot: 0.59 acres', u'Single Family', u'Built in 1930', u'All time views: 3,762', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $80,000', u'Last sale price/sqft: $32', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 1 space', u'Porch', u'Construction: Siding-Wood', u'Water: City Water', u'Garage: None-Garage', u'Basement: Crawlspace', u'Rooms: Living Room', u'Miscellaneous: City', u'Ownership: Individual', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Storage Building Detached', u'Workshop', u'Precautions: Lead Paint (pre 1978)', u'Type: 1.5 Story', u'Construction: Siding-Aluminum', u'Water: Septic Tank', u'Electricity: Progress', u'Heating-Dn: None Up', u'Subdivision: A', u'A: None-Up', u'Rooms: Bedroom on 1st Floor', u'Built-in Bookcases', u'Miscellaneous: USDA Qualified', u'Trash: Private Service', u'Rooms: Bonus Room', u'Dirt Drive', u'Electricity: LP Gas', u'Above Ground Pool', u'Basement: Other Basement-See Remarks', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Sun room', u'Walk-in closet', u'Exterior material: Other, Wood', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,495 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 287408-99-1537', u'Zillow Home ID: 74988660']	http://photos2.zillowstatic.com/p_e/ISdsi5bh0jav0y0000000000.jpg	80000.0	[]	2495.0	NC	132655.0	27816	74988660
2.0	3	Castalia	[u'Lot: 1.5 acres', u'Single Family', u'Built in 1998', u'All time views: 932', u'Heating: Other', u'Last sold: Sep 2015 for $117,000', u'Last sale price/sqft: $73', u'Deck', u'Parking: 384 sqft garage', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,610 sqft', u'Parcel #: 031770', u'Zillow Home ID: 49965469']	http://photos3.zillowstatic.com/p_e/IS9dgmhcaoszv41000000000.jpg	117000.0	[]	1610.0	NC	122076.0	27816	49965469
1.0	3	Castalia	[u'Lot: 1.8 acres', u'Single Family', u'Built in 1960', u'All time views: 1,022', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: May 2015 for $85,000', u'Last sale price/sqft: $59', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Carport, 2 spaces', u'Pond', u'Construction: Site Built', u'Views: Neighborhood', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'Foundation: Crawl Space', u'Paved Road', u'Misc Info: None', u'Views: Country', u'Water Amenities: None', u'Basement: None', u'Style: Ranch', u'Style: 1 Story', u'None', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Family room', u'Laundry room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,431 sqft', u'Heating: Gas', u'Last remodel year: 1965', u'Parcel #: 014645', u'Zillow Home ID: 49962512']	http://photos1.zillowstatic.com/p_e/ISdcend6h5n3sd1000000000.jpg	85000.0	[]	1431.0	NC	84930.0	27816	49962512
2.0	3	Castalia	[u'Lot: 4 acres', u'Single Family', u'Built in 2006', u'All time views: 967', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2015 for $159,900', u'Last sale price/sqft: $85', u'Flooring: Carpet, Tile', u'Parking: Carport', u'Dishwasher', u'Range / Oven', u'Dining room', u'Office', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,890 sqft', u'Parcel #: 287300-76-7984', u'Zillow Home ID: 111321737']	http://photos3.zillowstatic.com/p_e/ISle9nmajgnksy0000000000.jpg	159900.0	[]	1890.0	NC	114101.0	27816	111321737
12.0	3	Castalia	[u'Baths: 2 full, 20 half', u'Lot: 0.75 acres', u'Single Family', u'Built in 2013', u'All time views: 1,646', u'Cooling: Central, None', u'Heating: Heat pump', u'Last sold: Jul 2016 for $124,900', u'Last sale price/sqft: $65', u'Deck', u'Flooring: Carpet', u'Parking: Garage - Attached', u'Porch', u'Appliances: Oven - Electric', u'Water Heater: Electric', u'Fencing: None', u'Foundation: Crawl Space', u'Lot Description: Cul-de-Sac Lot', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Water: Well Water', u'Rooms: Kitchen', u'Attic: None', u'Fuel Tank: None', u'Road Type: See Remarks', u'None', u'Construction: See Remarks', u'Fireplace: None', u'Parking: Unpaved', u'Heating System: Other-See Remarks', u'Walk-In Closet', u'Roof: Composition', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,907 sqft', u'Zillow Home ID: 2099186349']	http://photos2.zillowstatic.com/p_e/ISpl5squug28tb1000000000.jpg	124900.0	[]	1907.0	NC	135244.0	27816	2099186349
2.5	3	Castalia	[u'Lot: 22 acres', u'Single Family', u'Built in 1990', u'All time views: 1,394', u'Heating: Other', u'Last sold: Oct 2015 for $380,000', u'Last sale price/sqft: $123', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 596 sqft garage', u'Pool', u'Exterior material: Stone', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Unit count: 1', u'Floor size: 3,102 sqft', u'Last remodel year: 1995', u'Parcel #: 037005', u'Zillow Home ID: 49951423']	http://photos1.zillowstatic.com/p_e/ISdcyir5x1ux4i0000000000.jpg	380000.0	[]	3102.0	NC	389542.0	27816	49951423
1.5	3	Castalia	[u'Baths: 1 full, 1 half', u'Lot: 0.59 acres', u'Single Family', u'Built in 1930', u'All time views: 3,768', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $80,000', u'Last sale price/sqft: $32', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 1 space', u'Porch', u'Construction: Siding-Wood', u'Water: City Water', u'Garage: None-Garage', u'Basement: Crawlspace', u'Rooms: Living Room', u'Miscellaneous: City', u'Ownership: Individual', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Storage Building Detached', u'Workshop', u'Precautions: Lead Paint (pre 1978)', u'Type: 1.5 Story', u'Construction: Siding-Aluminum', u'Water: Septic Tank', u'Electricity: Progress', u'Heating-Dn: None Up', u'Subdivision: A', u'A: None-Up', u'Rooms: Bedroom on 1st Floor', u'Built-in Bookcases', u'Miscellaneous: USDA Qualified', u'Trash: Private Service', u'Rooms: Bonus Room', u'Dirt Drive', u'Electricity: LP Gas', u'Above Ground Pool', u'Basement: Other Basement-See Remarks', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Sun room', u'Walk-in closet', u'Exterior material: Other, Wood', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,495 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 287408-99-1537', u'Zillow Home ID: 74988660']	http://photos2.zillowstatic.com/p_e/ISdsi5bh0jav0y0000000000.jpg	80000.0	[]	2495.0	NC	132655.0	27816	74988660
2.0	3	Castalia	[u'Lot: 1.5 acres', u'Single Family', u'Built in 1998', u'All time views: 933', u'Heating: Other', u'Last sold: Sep 2015 for $117,000', u'Last sale price/sqft: $73', u'Deck', u'Parking: 384 sqft garage', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,610 sqft', u'Parcel #: 031770', u'Zillow Home ID: 49965469']	http://photos3.zillowstatic.com/p_e/IS9dgmhcaoszv41000000000.jpg	117000.0	[]	1610.0	NC	122076.0	27816	49965469
1.0	3	Castalia	[u'Lot: 1.8 acres', u'Single Family', u'Built in 1960', u'All time views: 1,034', u'Cooling: Central', u'Heating: Heat pump, Other', u'Last sold: May 2015 for $85,000', u'Last sale price/sqft: $59', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl, Tile', u'Parking: Carport, 2 spaces', u'Pond', u'Construction: Site Built', u'Views: Neighborhood', u'A: Central', u'Water: Well Water', u'Sewer: Septic', u'Foundation: Crawl Space', u'Paved Road', u'Misc Info: None', u'Views: Country', u'Water Amenities: None', u'Basement: None', u'Style: Ranch', u'Style: 1 Story', u'None', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Family room', u'Laundry room', u'Exterior material: Brick', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 1', u'Structure type: Ranch', u'Unit count: 1', u'Floor size: 1,431 sqft', u'Heating: Gas', u'Last remodel year: 1965', u'Parcel #: 014645', u'Zillow Home ID: 49962512']	http://photos1.zillowstatic.com/p_e/ISdcend6h5n3sd1000000000.jpg	85000.0	[]	1431.0	NC	84930.0	27816	49962512
2.0	3	Castalia	[u'Lot: 4 acres', u'Single Family', u'Built in 2006', u'All time views: 978', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Mar 2015 for $159,900', u'Last sale price/sqft: $85', u'Flooring: Carpet, Tile', u'Parking: Carport', u'Dishwasher', u'Range / Oven', u'Dining room', u'Office', u'Roof type: Other', u'Room count: 5', u'Stories: 1', u'Structure type: Other', u'Floor size: 1,890 sqft', u'Parcel #: 287300-76-7984', u'Zillow Home ID: 111321737']	http://photos3.zillowstatic.com/p_e/ISle9nmajgnksy0000000000.jpg	159900.0	[]	1890.0	NC	114101.0	27816	111321737
12.0	3	Castalia	[u'Baths: 2 full, 20 half', u'Lot: 0.75 acres', u'Single Family', u'Built in 2013', u'All time views: 1,654', u'Cooling: Central, None', u'Heating: Heat pump', u'Last sold: Jul 2016 for $124,900', u'Last sale price/sqft: $65', u'Deck', u'Flooring: Carpet', u'Parking: Garage - Attached', u'Porch', u'Appliances: Oven - Electric', u'Water Heater: Electric', u'Fencing: None', u'Foundation: Crawl Space', u'Lot Description: Cul-de-Sac Lot', u'Rooms: Bedroom 1', u'Rooms: Bedroom 2', u'Rooms: Bedroom 3', u'Water: Well Water', u'Rooms: Kitchen', u'Attic: None', u'Fuel Tank: None', u'Road Type: See Remarks', u'None', u'Construction: See Remarks', u'Fireplace: None', u'Parking: Unpaved', u'Heating System: Other-See Remarks', u'Walk-In Closet', u'Roof: Composition', u'List Office Board Code: Wilson Board of Realtors', u'Dishwasher', u'Dining room', u'Exterior material: Vinyl', u'Roof type: Composition', u'Stories: 1', u'Floor size: 1,907 sqft', u'Zillow Home ID: 2099186349']	http://photos2.zillowstatic.com/p_e/ISpl5squug28tb1000000000.jpg	124900.0	[]	1907.0	NC	135244.0	27816	2099186349
2.5	3	Castalia	[u'Lot: 22 acres', u'Single Family', u'Built in 1990', u'All time views: 1,400', u'Heating: Other', u'Last sold: Oct 2015 for $380,000', u'Last sale price/sqft: $123', u'Deck', u'Fireplace', u'Parking: Garage - Attached, 596 sqft garage', u'Pool', u'Exterior material: Stone', u'Roof type: Asphalt', u'Room count: 7', u'Stories: 2', u'Unit count: 1', u'Floor size: 3,102 sqft', u'Last remodel year: 1995', u'Parcel #: 037005', u'Zillow Home ID: 49951423']	http://photos1.zillowstatic.com/p_e/ISdcyir5x1ux4i0000000000.jpg	380000.0	[]	3102.0	NC	389542.0	27816	49951423
1.5	3	Castalia	[u'Baths: 1 full, 1 half', u'Lot: 0.59 acres', u'Single Family', u'Built in 1930', u'All time views: 3,764', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $80,000', u'Last sale price/sqft: $32', u'Cable Ready', u'Deck', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Garden', u'Parking: Garage - Attached, 1 space', u'Porch', u'Construction: Siding-Wood', u'Water: City Water', u'Garage: None-Garage', u'Basement: Crawlspace', u'Rooms: Living Room', u'Miscellaneous: City', u'Ownership: Individual', u'County: Nash', u'Property Status: Active', u'Property Type: Residential', u'Rooms: Master Bedroom 1st Level', u'Rooms: 2 Baths', u'Storage Building Detached', u'Workshop', u'Precautions: Lead Paint (pre 1978)', u'Type: 1.5 Story', u'Construction: Siding-Aluminum', u'Water: Septic Tank', u'Electricity: Progress', u'Heating-Dn: None Up', u'Subdivision: A', u'A: None-Up', u'Rooms: Bedroom on 1st Floor', u'Built-in Bookcases', u'Miscellaneous: USDA Qualified', u'Trash: Private Service', u'Rooms: Bonus Room', u'Dirt Drive', u'Electricity: LP Gas', u'Above Ground Pool', u'Basement: Other Basement-See Remarks', u'Dishwasher', u'Dryer', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Sun room', u'Walk-in closet', u'Exterior material: Other, Wood', u'Foundation type: Other', u'Roof type: Composition', u'Room count: 6', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,495 sqft', u'Heating: Gas', u'Laundry: In Unit', u'Parcel #: 287408-99-1537', u'Zillow Home ID: 74988660']	http://photos2.zillowstatic.com/p_e/ISdsi5bh0jav0y0000000000.jpg	80000.0	[]	2495.0	NC	132655.0	27816	74988660
2.0	3	Castalia	[u'Lot: 1.5 acres', u'Single Family', u'Built in 1998', u'All time views: 940', u'Heating: Other', u'Last sold: Sep 2015 for $117,000', u'Last sale price/sqft: $73', u'Deck', u'Parking: 384 sqft garage', u'Roof type: Asphalt', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,610 sqft', u'Parcel #: 031770', u'Zillow Home ID: 49965469']	http://photos3.zillowstatic.com/p_e/IS9dgmhcaoszv41000000000.jpg	117000.0	[]	1610.0	NC	122076.0	27816	49965469
