baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	5	Lowgap	[u'Lot: 4.5 acres', u'Single Family', u'Built in 1978', u'188 days on Zillow', u'Views since listing: 1,034', u'All time views: 5,352', u'4 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2014 for $131,900', u'Last sale price/sqft: $57', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Storage', u'View: Mountain', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 2,300 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2114094396']	http://photos1.zillowstatic.com/p_e/ISd09fau2ad92d0000000000.jpg	131900.0	[]	2300.0	NC	182276.0	27024	2114094396
2.0	3	Lowgap	[u'Lot: 2.96 acres', u'Single Family', u'Built in 2000', u'All time views: 1,390', u'Cooling: Wall', u'Heating: Baseboard', u'Last sold: Oct 2014 for $115,000', u'Last sale price/sqft: $82', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Lawn', u'Porch', u'View: Mountain', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Structure type: Other', u'Floor size: 1,400 sqft', u'Zillow Home ID: 2146216502']	http://photos2.zillowstatic.com/p_e/IStcx6jzje2gae1000000000.jpg	115000.0	[]	1400.0	NC	115063.0	27024	2146216502
3.0	4	Lowgap	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1987', u'All time views: 1,324', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2013 for $122,500', u'Last sale price/sqft: $47', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Dishwasher', u'Range / Oven', u'Dining room', u'Workshop', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,624 sqft', u'Heating: Electric', u'Parcel #: 4041-03-33-3859', u'Zillow Home ID: 113096260']	http://photos3.zillowstatic.com/p_e/IStgwwlf8jn6e00000000000.jpg	122500.0	[]	2624.0	NC	222794.0	27024	113096260
2.0	3	Lowgap	[u'Lot: 1.7 acres', u'Single Family', u'Built in 2000', u'All time views: 2,999', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $67,000', u'Last sale price/sqft: $52', u'Flooring: Carpet', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,300 sqft', u'Parcel #: 4082-00-65-3043', u'Zillow Home ID: 113096566']	http://photos1.zillowstatic.com/p_e/ISxj94g5f9vl170000000000.jpg	67000.0	[]	1300.0	NC	90384.0	27024	113096566
3.0	5	Lowgap	[u'Lot: 4.5 acres', u'Single Family', u'Built in 1978', u'188 days on Zillow', u'Views since listing: 1,030', u'All time views: 5,348', u'4 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2014 for $131,900', u'Last sale price/sqft: $57', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Storage', u'View: Mountain', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 2,300 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2114094396']	http://photos1.zillowstatic.com/p_e/ISd09fau2ad92d0000000000.jpg	131900.0	[]	2300.0	NC	182276.0	27024	2114094396
2.0	3	Lowgap	[u'Lot: 2.96 acres', u'Single Family', u'Built in 2000', u'All time views: 1,388', u'Cooling: Wall', u'Heating: Baseboard', u'Last sold: Oct 2014 for $115,000', u'Last sale price/sqft: $82', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Lawn', u'Porch', u'View: Mountain', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Structure type: Other', u'Floor size: 1,400 sqft', u'Zillow Home ID: 2146216502']	http://photos2.zillowstatic.com/p_e/IStcx6jzje2gae1000000000.jpg	115000.0	[]	1400.0	NC	115063.0	27024	2146216502
3.0	4	Lowgap	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1987', u'All time views: 1,335', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2013 for $122,500', u'Last sale price/sqft: $47', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Dishwasher', u'Range / Oven', u'Dining room', u'Workshop', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,624 sqft', u'Heating: Electric', u'Parcel #: 4041-03-33-3859', u'Zillow Home ID: 113096260']	http://photos3.zillowstatic.com/p_e/IStgwwlf8jn6e00000000000.jpg	122500.0	[]	2624.0	NC	222794.0	27024	113096260
2.0	3	Lowgap	[u'Lot: 1.7 acres', u'Single Family', u'Built in 2000', u'All time views: 3,006', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $67,000', u'Last sale price/sqft: $52', u'Flooring: Carpet', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,300 sqft', u'Parcel #: 4082-00-65-3043', u'Zillow Home ID: 113096566']	http://photos1.zillowstatic.com/p_e/ISxj94g5f9vl170000000000.jpg	67000.0	[]	1300.0	NC	90384.0	27024	113096566
3.0	5	Lowgap	[u'Lot: 4.5 acres', u'Single Family', u'Built in 1978', u'188 days on Zillow', u'Views since listing: 1,035', u'All time views: 5,353', u'4 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2014 for $131,900', u'Last sale price/sqft: $57', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Storage', u'View: Mountain', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 2,300 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2114094396']	http://photos1.zillowstatic.com/p_e/ISd09fau2ad92d0000000000.jpg	131900.0	[]	2300.0	NC	182276.0	27024	2114094396
2.0	3	Lowgap	[u'Lot: 2.96 acres', u'Single Family', u'Built in 2000', u'All time views: 1,403', u'Cooling: Wall', u'Heating: Baseboard', u'Last sold: Oct 2014 for $115,000', u'Last sale price/sqft: $82', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Lawn', u'Porch', u'View: Mountain', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Structure type: Other', u'Floor size: 1,400 sqft', u'Zillow Home ID: 2146216502']	http://photos2.zillowstatic.com/p_e/IStcx6jzje2gae1000000000.jpg	115000.0	[]	1400.0	NC	115063.0	27024	2146216502
3.0	4	Lowgap	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1987', u'All time views: 1,337', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2013 for $122,500', u'Last sale price/sqft: $47', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Dishwasher', u'Range / Oven', u'Dining room', u'Workshop', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,624 sqft', u'Heating: Electric', u'Parcel #: 4041-03-33-3859', u'Zillow Home ID: 113096260']	http://photos3.zillowstatic.com/p_e/IStgwwlf8jn6e00000000000.jpg	122500.0	[]	2624.0	NC	222794.0	27024	113096260
2.0	3	Lowgap	[u'Lot: 1.7 acres', u'Single Family', u'Built in 2000', u'All time views: 2,998', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $67,000', u'Last sale price/sqft: $52', u'Flooring: Carpet', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,300 sqft', u'Parcel #: 4082-00-65-3043', u'Zillow Home ID: 113096566']	http://photos1.zillowstatic.com/p_e/ISxj94g5f9vl170000000000.jpg	67000.0	[]	1300.0	NC	90384.0	27024	113096566
3.0	5	Lowgap	[u'Lot: 4.5 acres', u'Single Family', u'Built in 1978', u'188 days on Zillow', u'Views since listing: 1,032', u'All time views: 5,350', u'4 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2014 for $131,900', u'Last sale price/sqft: $57', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Storage', u'View: Mountain', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 2,300 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2114094396']	http://photos1.zillowstatic.com/p_e/ISd09fau2ad92d0000000000.jpg	131900.0	[]	2300.0	NC	182276.0	27024	2114094396
2.0	3	Lowgap	[u'Lot: 2.96 acres', u'Single Family', u'Built in 2000', u'All time views: 1,387', u'Cooling: Wall', u'Heating: Baseboard', u'Last sold: Oct 2014 for $115,000', u'Last sale price/sqft: $82', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Lawn', u'Porch', u'View: Mountain', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Structure type: Other', u'Floor size: 1,400 sqft', u'Zillow Home ID: 2146216502']	http://photos2.zillowstatic.com/p_e/IStcx6jzje2gae1000000000.jpg	115000.0	[]	1400.0	NC	115063.0	27024	2146216502
3.0	4	Lowgap	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1987', u'All time views: 1,325', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2013 for $122,500', u'Last sale price/sqft: $47', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Dishwasher', u'Range / Oven', u'Dining room', u'Workshop', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,624 sqft', u'Heating: Electric', u'Parcel #: 4041-03-33-3859', u'Zillow Home ID: 113096260']	http://photos3.zillowstatic.com/p_e/IStgwwlf8jn6e00000000000.jpg	122500.0	[]	2624.0	NC	222794.0	27024	113096260
2.0	3	Lowgap	[u'Lot: 1.7 acres', u'Single Family', u'Built in 2000', u'All time views: 2,996', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $67,000', u'Last sale price/sqft: $52', u'Flooring: Carpet', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,300 sqft', u'Parcel #: 4082-00-65-3043', u'Zillow Home ID: 113096566']	http://photos1.zillowstatic.com/p_e/ISxj94g5f9vl170000000000.jpg	67000.0	[]	1300.0	NC	90384.0	27024	113096566
3.0	5	Lowgap	[u'Lot: 4.5 acres', u'Single Family', u'Built in 1978', u'188 days on Zillow', u'Views since listing: 1,025', u'All time views: 5,343', u'4 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2014 for $131,900', u'Last sale price/sqft: $57', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Storage', u'View: Mountain', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 2,300 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2114094396']	http://photos1.zillowstatic.com/p_e/ISd09fau2ad92d0000000000.jpg	131900.0	[]	2300.0	NC	182276.0	27024	2114094396
2.0	3	Lowgap	[u'Lot: 2.96 acres', u'Single Family', u'Built in 2000', u'All time views: 1,401', u'Cooling: Wall', u'Heating: Baseboard', u'Last sold: Oct 2014 for $115,000', u'Last sale price/sqft: $82', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Lawn', u'Porch', u'View: Mountain', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Structure type: Other', u'Floor size: 1,400 sqft', u'Zillow Home ID: 2146216502']	http://photos2.zillowstatic.com/p_e/IStcx6jzje2gae1000000000.jpg	115000.0	[]	1400.0	NC	115063.0	27024	2146216502
3.0	4	Lowgap	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1987', u'All time views: 1,338', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2013 for $122,500', u'Last sale price/sqft: $47', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Dishwasher', u'Range / Oven', u'Dining room', u'Workshop', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,624 sqft', u'Heating: Electric', u'Parcel #: 4041-03-33-3859', u'Zillow Home ID: 113096260']	http://photos3.zillowstatic.com/p_e/IStgwwlf8jn6e00000000000.jpg	122500.0	[]	2624.0	NC	222794.0	27024	113096260
2.0	3	Lowgap	[u'Lot: 1.7 acres', u'Single Family', u'Built in 2000', u'All time views: 3,005', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $67,000', u'Last sale price/sqft: $52', u'Flooring: Carpet', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,300 sqft', u'Parcel #: 4082-00-65-3043', u'Zillow Home ID: 113096566']	http://photos1.zillowstatic.com/p_e/ISxj94g5f9vl170000000000.jpg	67000.0	[]	1300.0	NC	90384.0	27024	113096566
3.0	5	Lowgap	[u'Lot: 4.5 acres', u'Single Family', u'Built in 1978', u'188 days on Zillow', u'Views since listing: 1,018', u'All time views: 5,337', u'4 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2014 for $131,900', u'Last sale price/sqft: $57', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Storage', u'View: Mountain', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 2,300 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2114094396']	http://photos1.zillowstatic.com/p_e/ISd09fau2ad92d0000000000.jpg	131900.0	[]	2300.0	NC	182276.0	27024	2114094396
2.0	3	Lowgap	[u'Lot: 2.96 acres', u'Single Family', u'Built in 2000', u'All time views: 1,392', u'Cooling: Wall', u'Heating: Baseboard', u'Last sold: Oct 2014 for $115,000', u'Last sale price/sqft: $82', u'Ceiling Fan', u'Deck', u'Fireplace', u'Flooring: Hardwood, Tile', u'Garden', u'Lawn', u'Porch', u'View: Mountain', u'Dishwasher', u'Range / Oven', u'Refrigerator', u'Dining room', u'Laundry room', u'Exterior material: Wood', u'Roof type: Shake Shingle', u'Structure type: Other', u'Floor size: 1,400 sqft', u'Zillow Home ID: 2146216502']	http://photos2.zillowstatic.com/p_e/IStcx6jzje2gae1000000000.jpg	115000.0	[]	1400.0	NC	115063.0	27024	2146216502
3.0	4	Lowgap	[u'Lot: 1.4 acres', u'Single Family', u'Built in 1987', u'All time views: 1,340', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Oct 2013 for $122,500', u'Last sale price/sqft: $47', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood, Linoleum / Vinyl', u'Dishwasher', u'Range / Oven', u'Dining room', u'Workshop', u'Exterior material: Wood', u'Foundation type: Footing', u'Roof type: Other', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,624 sqft', u'Heating: Electric', u'Parcel #: 4041-03-33-3859', u'Zillow Home ID: 113096260']	http://photos3.zillowstatic.com/p_e/IStgwwlf8jn6e00000000000.jpg	122500.0	[]	2624.0	NC	222794.0	27024	113096260
2.0	3	Lowgap	[u'Lot: 1.7 acres', u'Single Family', u'Built in 2000', u'All time views: 3,007', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Oct 2015 for $67,000', u'Last sale price/sqft: $52', u'Flooring: Carpet', u'Exterior material: Other', u'Foundation type: Footing', u'Roof type: Asphalt', u'Stories: 1', u'Floor size: 1,300 sqft', u'Parcel #: 4082-00-65-3043', u'Zillow Home ID: 113096566']	http://photos1.zillowstatic.com/p_e/ISxj94g5f9vl170000000000.jpg	67000.0	[]	1300.0	NC	90384.0	27024	113096566
3.0	5	Lowgap	[u'Lot: 4.5 acres', u'Single Family', u'Built in 1978', u'188 days on Zillow', u'Views since listing: 1,024', u'All time views: 5,341', u'4 shoppers saved this home', u'Cooling: Central', u'Heating: Heat pump', u'Last sold: Dec 2014 for $131,900', u'Last sale price/sqft: $57', u'Attic', u'Ceiling Fan', u'Deck', u'Double Pane/Storm Windows', u'Finished basement', u'Fireplace', u'Flooring: Carpet, Hardwood', u'Lawn', u'Parking: Garage - Attached, 2 spaces', u'Patio', u'Porch', u'Storage', u'View: Mountain', u'Dishwasher', u'Dryer', u'Freezer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Dining room', u'Family room', u'Laundry room', u'Master bath', u'Office', u'Recreation room', u'Walk-in closet', u'Exterior material: Brick', u'Roof type: Metal', u'Stories: 2', u'Structure type: Ranch', u'Floor size: 2,300 sqft', u'Heating: Electric', u'Laundry: In Unit', u'Zillow Home ID: 2114094396']	http://photos1.zillowstatic.com/p_e/ISd09fau2ad92d0000000000.jpg	131900.0	[]	2300.0	NC	182276.0	27024	2114094396
