baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
1.5	3	Colerain	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1978', u'All time views: 905', u'Heating: Forced air', u'Last sold: Sep 2015 for $29,000', u'Last sale price/sqft: $27', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,092 sqft', u'Parcel #: 6858-51-5532', u'Zillow Home ID: 106948109']	http://photos1.zillowstatic.com/p_e/ISlio9xeew7b7i0000000000.jpg	29000.0	[]	1092.0	NC	66022.0	27924	106948109
1.5	3	Colerain	[u'Single Family', u'Built in 1966', u'All time views: 578', u'Heating: Forced air', u'Last sold: Aug 2014 for $90,500', u'Last sale price/sqft: $383', u'Parking: Garage - Attached', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 236 sqft', u'Parcel #: 6859-89-1474', u'Zillow Home ID: 106948272']	http://photos2.zillowstatic.com/p_e/ISh36ubi9mcb5a1000000000.jpg	90500.0	[]	236.0	NC	62046.0	27924	106948272
1.0	3	Colerain	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1922', u'All time views: 3,092', u'Heating: Forced air', u'Last sold: Jun 2014 for $21,000', u'Last sale price/sqft: $16', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Porch', u'Sewer: County Sewer', u'Construction: Site Built', u'Views: Neighborhood', u'A: Central', u'Foundation: Crawl Space', u'Asphalt Drive', u'Misc Info: None', u'Garage: None-Carport', u'Basement: None', u'Water: County Water', u'Dishwasher', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 0', u'Structure type: Bungalow', u'Floor size: 1,350 sqft', u'Laundry: In Unit', u'Parcel #: 6859-88-2942', u'Zillow Home ID: 106948260']	http://photos1.zillowstatic.com/p_e/IS9d0ugwtn78wr1000000000.jpg	21000.0	[]	1350.0	NC	60856.0	27924	106948260
2.5	4	Colerain	[u'Lot: 1 acre', u'Single Family', u'Built in 1949', u'All time views: 1,174', u'Heating: Forced air', u'Last sold: May 2014 for $105,000', u'Last sale price/sqft: $38', u'Fireplace', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1.5', u'Floor size: 2,800 sqft', u'Parcel #: 6859-99-9226', u'Zillow Home ID: 106948324']	http://photos3.zillowstatic.com/p_e/IS9lmcggndj9va1000000000.jpg	105000.0	[]	2800.0	NC	130897.0	27924	106948324
2.0	4	Colerain	[u'Lot: 1 acre', u'Single Family', u'Built in 1941', u'All time views: 713', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jan 2014 for $125,000', u'Last sale price/sqft: $57', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate', u'Garden', u'Lawn', u'Parking: Carport, 4 spaces', u'View: Territorial', u'Both wood burning and gas log fireplaces', u'former two car garage now workshop or hobby room', u'2 open', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Pantry', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Room count: 10', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 2,200 sqft', u'Heating: Propane butane', u'Last remodel year: 2013', u'Laundry: In Unit', u'Parcel #: 6930-50-7615', u'Zillow Home ID: 106949505']	http://photos1.zillowstatic.com/p_e/ISplhh65d3egcz0000000000.jpg	125000.0	[]	2200.0	NC	104338.0	27924	106949505
1.0	3	Colerain	[u'Single Family', u'Built in 1954', u'All time views: 261', u'Heating: Forced air', u'Last sold: Dec 2013 for $53,000', u'Last sale price/sqft: $41', u'Fireplace', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,306 sqft', u'Parcel #: 6847-96-1483', u'Zillow Home ID: 106947562']	http://photos1.zillowstatic.com/p_e/ISd09fqqisc5z11000000000.jpg	53000.0	[]	1306.0	NC	58629.0	27924	106947562
2.0	3	Colerain	[u'Lot: 0.6 acres', u'Single Family', u'Built in 2000', u'All time views: 1,700', u'Heating: Heat pump', u'Last sold: May 2016 for $41,600', u'Last sale price/sqft: $29', u'Move In Ready', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,456 sqft', u'Parcel #: 6859-99-4341', u'Zillow Home ID: 115919234']	http://photos2.zillowstatic.com/p_e/IShjqg7buvi98d1000000000.jpg	41600.0	[]	1456.0	NC	57371.0	27924	115919234
2.0	4	Colerain	[u'Lot: 0.77 acres', u'Single Family', u'Built in 1952', u'All time views: 6,160', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Nov 2015 for $65,000', u'Last sale price/sqft: $26', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Garage - Attached', u'Pool', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Construction: Site Built', u'Basement: Partial', u'Appliances: None', u'A: Central', u'Attic: Access Only', u'Foundation: Crawl Space', u'Misc Info: None', u'Views: Country', u'Style: 1.5 Story', u'Garage: None-Carport', u'Attic: Eave Storage', u'Washer', u'Walk-in closet', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,500 sqft', u'Laundry: In Unit', u'Parcel #: 6859-99-8672', u'Zillow Home ID: 106948323']	http://photos3.zillowstatic.com/p_e/ISl6f2kcsxi2221000000000.jpg	65000.0	[]	2500.0	NC	67083.0	27924	106948323
1.5	3	Colerain	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1978', u'All time views: 900', u'Heating: Forced air', u'Last sold: Sep 2015 for $29,000', u'Last sale price/sqft: $27', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,092 sqft', u'Parcel #: 6858-51-5532', u'Zillow Home ID: 106948109']	http://photos1.zillowstatic.com/p_e/ISlio9xeew7b7i0000000000.jpg	29000.0	[]	1092.0	NC	66022.0	27924	106948109
1.5	3	Colerain	[u'Single Family', u'Built in 1966', u'All time views: 575', u'Heating: Forced air', u'Last sold: Aug 2014 for $90,500', u'Last sale price/sqft: $383', u'Parking: Garage - Attached', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 236 sqft', u'Parcel #: 6859-89-1474', u'Zillow Home ID: 106948272']	http://photos2.zillowstatic.com/p_e/ISh36ubi9mcb5a1000000000.jpg	90500.0	[]	236.0	NC	62046.0	27924	106948272
1.0	3	Colerain	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1922', u'All time views: 3,093', u'Heating: Forced air', u'Last sold: Jun 2014 for $21,000', u'Last sale price/sqft: $16', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Porch', u'Sewer: County Sewer', u'Construction: Site Built', u'Views: Neighborhood', u'A: Central', u'Foundation: Crawl Space', u'Asphalt Drive', u'Misc Info: None', u'Garage: None-Carport', u'Basement: None', u'Water: County Water', u'Dishwasher', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 0', u'Structure type: Bungalow', u'Floor size: 1,350 sqft', u'Laundry: In Unit', u'Parcel #: 6859-88-2942', u'Zillow Home ID: 106948260']	http://photos1.zillowstatic.com/p_e/IS9d0ugwtn78wr1000000000.jpg	21000.0	[]	1350.0	NC	60856.0	27924	106948260
2.5	4	Colerain	[u'Lot: 1 acre', u'Single Family', u'Built in 1949', u'All time views: 1,177', u'Heating: Forced air', u'Last sold: May 2014 for $105,000', u'Last sale price/sqft: $38', u'Fireplace', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1.5', u'Floor size: 2,800 sqft', u'Parcel #: 6859-99-9226', u'Zillow Home ID: 106948324']	http://photos3.zillowstatic.com/p_e/IS9lmcggndj9va1000000000.jpg	105000.0	[]	2800.0	NC	130897.0	27924	106948324
2.0	4	Colerain	[u'Lot: 1 acre', u'Single Family', u'Built in 1941', u'All time views: 714', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jan 2014 for $125,000', u'Last sale price/sqft: $57', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate', u'Garden', u'Lawn', u'Parking: Carport, 4 spaces', u'View: Territorial', u'Both wood burning and gas log fireplaces', u'former two car garage now workshop or hobby room', u'2 open', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Pantry', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Room count: 10', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 2,200 sqft', u'Heating: Propane butane', u'Last remodel year: 2013', u'Laundry: In Unit', u'Parcel #: 6930-50-7615', u'Zillow Home ID: 106949505']	http://photos1.zillowstatic.com/p_e/ISplhh65d3egcz0000000000.jpg	125000.0	[]	2200.0	NC	104338.0	27924	106949505
1.0	3	Colerain	[u'Single Family', u'Built in 1954', u'All time views: 265', u'Heating: Forced air', u'Last sold: Dec 2013 for $53,000', u'Last sale price/sqft: $41', u'Fireplace', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,306 sqft', u'Parcel #: 6847-96-1483', u'Zillow Home ID: 106947562']	http://photos1.zillowstatic.com/p_e/ISd09fqqisc5z11000000000.jpg	53000.0	[]	1306.0	NC	58629.0	27924	106947562
2.0	3	Colerain	[u'Lot: 0.6 acres', u'Single Family', u'Built in 2000', u'All time views: 1,702', u'Heating: Heat pump', u'Last sold: May 2016 for $41,600', u'Last sale price/sqft: $29', u'Move In Ready', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,456 sqft', u'Parcel #: 6859-99-4341', u'Zillow Home ID: 115919234']	http://photos2.zillowstatic.com/p_e/IShjqg7buvi98d1000000000.jpg	41600.0	[]	1456.0	NC	57371.0	27924	115919234
2.0	4	Colerain	[u'Lot: 0.77 acres', u'Single Family', u'Built in 1952', u'All time views: 6,163', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Nov 2015 for $65,000', u'Last sale price/sqft: $26', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Garage - Attached', u'Pool', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Construction: Site Built', u'Basement: Partial', u'Appliances: None', u'A: Central', u'Attic: Access Only', u'Foundation: Crawl Space', u'Misc Info: None', u'Views: Country', u'Style: 1.5 Story', u'Garage: None-Carport', u'Attic: Eave Storage', u'Washer', u'Walk-in closet', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,500 sqft', u'Laundry: In Unit', u'Parcel #: 6859-99-8672', u'Zillow Home ID: 106948323']	http://photos3.zillowstatic.com/p_e/ISl6f2kcsxi2221000000000.jpg	65000.0	[]	2500.0	NC	67083.0	27924	106948323
1.5	3	Colerain	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1978', u'All time views: 902', u'Heating: Forced air', u'Last sold: Sep 2015 for $29,000', u'Last sale price/sqft: $27', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,092 sqft', u'Parcel #: 6858-51-5532', u'Zillow Home ID: 106948109']	http://photos1.zillowstatic.com/p_e/ISlio9xeew7b7i0000000000.jpg	29000.0	[]	1092.0	NC	66022.0	27924	106948109
1.5	3	Colerain	[u'Single Family', u'Built in 1966', u'All time views: 577', u'Heating: Forced air', u'Last sold: Aug 2014 for $90,500', u'Last sale price/sqft: $383', u'Parking: Garage - Attached', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 236 sqft', u'Parcel #: 6859-89-1474', u'Zillow Home ID: 106948272']	http://photos2.zillowstatic.com/p_e/ISh36ubi9mcb5a1000000000.jpg	90500.0	[]	236.0	NC	62046.0	27924	106948272
1.0	3	Colerain	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1922', u'All time views: 3,091', u'Heating: Forced air', u'Last sold: Jun 2014 for $21,000', u'Last sale price/sqft: $16', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Porch', u'Sewer: County Sewer', u'Construction: Site Built', u'Views: Neighborhood', u'A: Central', u'Foundation: Crawl Space', u'Asphalt Drive', u'Misc Info: None', u'Garage: None-Carport', u'Basement: None', u'Water: County Water', u'Dishwasher', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 0', u'Structure type: Bungalow', u'Floor size: 1,350 sqft', u'Laundry: In Unit', u'Parcel #: 6859-88-2942', u'Zillow Home ID: 106948260']	http://photos1.zillowstatic.com/p_e/IS9d0ugwtn78wr1000000000.jpg	21000.0	[]	1350.0	NC	60856.0	27924	106948260
2.5	4	Colerain	[u'Lot: 1 acre', u'Single Family', u'Built in 1949', u'All time views: 1,172', u'Heating: Forced air', u'Last sold: May 2014 for $105,000', u'Last sale price/sqft: $38', u'Fireplace', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1.5', u'Floor size: 2,800 sqft', u'Parcel #: 6859-99-9226', u'Zillow Home ID: 106948324']	http://photos3.zillowstatic.com/p_e/IS9lmcggndj9va1000000000.jpg	105000.0	[]	2800.0	NC	130897.0	27924	106948324
2.0	4	Colerain	[u'Lot: 1 acre', u'Single Family', u'Built in 1941', u'All time views: 715', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Jan 2014 for $125,000', u'Last sale price/sqft: $57', u'Barbecue', u'Cable Ready', u'Ceiling Fan', u'Fenced Yard', u'Fireplace', u'Flooring: Carpet, Hardwood, Laminate', u'Garden', u'Lawn', u'Parking: Carport, 4 spaces', u'View: Territorial', u'Both wood burning and gas log fireplaces', u'former two car garage now workshop or hobby room', u'2 open', u'Dishwasher', u'Dryer', u'Microwave', u'Range / Oven', u'Refrigerator', u'Washer', u'Breakfast nook', u'Dining room', u'Family room', u'Laundry room', u'Pantry', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Asphalt', u'Room count: 10', u'Stories: 2', u'Structure type: Contemporary', u'Floor size: 2,200 sqft', u'Heating: Propane butane', u'Last remodel year: 2013', u'Laundry: In Unit', u'Parcel #: 6930-50-7615', u'Zillow Home ID: 106949505']	http://photos1.zillowstatic.com/p_e/ISplhh65d3egcz0000000000.jpg	125000.0	[]	2200.0	NC	104338.0	27924	106949505
1.0	3	Colerain	[u'Single Family', u'Built in 1954', u'All time views: 263', u'Heating: Forced air', u'Last sold: Dec 2013 for $53,000', u'Last sale price/sqft: $41', u'Fireplace', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,306 sqft', u'Parcel #: 6847-96-1483', u'Zillow Home ID: 106947562']	http://photos1.zillowstatic.com/p_e/ISd09fqqisc5z11000000000.jpg	53000.0	[]	1306.0	NC	58629.0	27924	106947562
2.0	3	Colerain	[u'Lot: 0.6 acres', u'Single Family', u'Built in 2000', u'All time views: 1,701', u'Heating: Heat pump', u'Last sold: May 2016 for $41,600', u'Last sale price/sqft: $29', u'Move In Ready', u'Exterior material: Other', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,456 sqft', u'Parcel #: 6859-99-4341', u'Zillow Home ID: 115919234']	http://photos2.zillowstatic.com/p_e/IShjqg7buvi98d1000000000.jpg	41600.0	[]	1456.0	NC	57371.0	27924	115919234
2.0	4	Colerain	[u'Lot: 0.77 acres', u'Single Family', u'Built in 1952', u'All time views: 6,162', u'Cooling: Central', u'Heating: Forced air', u'Last sold: Nov 2015 for $65,000', u'Last sale price/sqft: $26', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl, Tile', u'Garden', u'Parking: Garage - Attached', u'Pool', u'Porch', u'Water: City Water', u'Sewer: County Sewer', u'Construction: Site Built', u'Basement: Partial', u'Appliances: None', u'A: Central', u'Attic: Access Only', u'Foundation: Crawl Space', u'Misc Info: None', u'Views: Country', u'Style: 1.5 Story', u'Garage: None-Carport', u'Attic: Eave Storage', u'Washer', u'Walk-in closet', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 0', u'Structure type: Other', u'Floor size: 2,500 sqft', u'Laundry: In Unit', u'Parcel #: 6859-99-8672', u'Zillow Home ID: 106948323']	http://photos3.zillowstatic.com/p_e/ISl6f2kcsxi2221000000000.jpg	65000.0	[]	2500.0	NC	67083.0	27924	106948323
1.5	3	Colerain	[u'Lot: 0.5 acres', u'Single Family', u'Built in 1978', u'All time views: 901', u'Heating: Forced air', u'Last sold: Sep 2015 for $29,000', u'Last sale price/sqft: $27', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 1,092 sqft', u'Parcel #: 6858-51-5532', u'Zillow Home ID: 106948109']	http://photos1.zillowstatic.com/p_e/ISlio9xeew7b7i0000000000.jpg	29000.0	[]	1092.0	NC	66022.0	27924	106948109
1.5	3	Colerain	[u'Single Family', u'Built in 1966', u'All time views: 576', u'Heating: Forced air', u'Last sold: Aug 2014 for $90,500', u'Last sale price/sqft: $383', u'Parking: Garage - Attached', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1', u'Floor size: 236 sqft', u'Parcel #: 6859-89-1474', u'Zillow Home ID: 106948272']	http://photos2.zillowstatic.com/p_e/ISh36ubi9mcb5a1000000000.jpg	90500.0	[]	236.0	NC	62046.0	27924	106948272
1.0	3	Colerain	[u'Lot: 0.4 acres', u'Single Family', u'Built in 1922', u'All time views: 3,090', u'Heating: Forced air', u'Last sold: Jun 2014 for $21,000', u'Last sale price/sqft: $16', u'Deck', u'Fireplace', u'Flooring: Hardwood, Linoleum / Vinyl', u'Parking: Garage - Attached', u'Porch', u'Sewer: County Sewer', u'Construction: Site Built', u'Views: Neighborhood', u'A: Central', u'Foundation: Crawl Space', u'Asphalt Drive', u'Misc Info: None', u'Garage: None-Carport', u'Basement: None', u'Water: County Water', u'Dishwasher', u'Washer', u'Exterior material: Vinyl', u'Foundation type: Masonry', u'Roof type: Composition', u'Stories: 0', u'Structure type: Bungalow', u'Floor size: 1,350 sqft', u'Laundry: In Unit', u'Parcel #: 6859-88-2942', u'Zillow Home ID: 106948260']	http://photos1.zillowstatic.com/p_e/IS9d0ugwtn78wr1000000000.jpg	21000.0	[]	1350.0	NC	60856.0	27924	106948260
2.5	4	Colerain	[u'Lot: 1 acre', u'Single Family', u'Built in 1949', u'All time views: 1,173', u'Heating: Forced air', u'Last sold: May 2014 for $105,000', u'Last sale price/sqft: $38', u'Fireplace', u'Exterior material: Brick', u'Foundation type: Masonry', u'Roof type: Other', u'Stories: 1.5', u'Floor size: 2,800 sqft', u'Parcel #: 6859-99-9226', u'Zillow Home ID: 106948324']	http://photos3.zillowstatic.com/p_e/IS9lmcggndj9va1000000000.jpg	105000.0	[]	2800.0	NC	130897.0	27924	106948324
