baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	2	Cedarville	[u'Lot: 1 acre', u'Single Family', u'Built in 1991', u'All time views: 2,037', u'Last sold: Nov 2014 for $216,000', u'Last sale price/sqft: $108', u'Fireplace', u'Parking: Garage - Detached, 3 spaces', u'Access- All Year', u'Barn', u'Borders River/Creek', u'Ceiling Fans', u'Central Vacuum', u'Dishwasher', u'Fenced Full', u'Garden Area', u'Handicap Features', u'Horse Property', u'Landscape- Full', u'Lawn', u'Oven-range', u'Patio: covered', u'Patio: uncovered', u'Porch/Deck', u'Refrigerator', u'RV/ Boat Parking', u'Sprinkler Drip System', u'Sprinklers Automatic', u'Trees', u'View of Mountains', u'W/D Hookups', u'Walk-in Closets', u'Water Heater', u'Window Coverings', u'Wood Burning Stove', u'Work Shop', u'Roof type: Metal', u'Stories: 1', u'Unit count: 1', u'Floor size: 2,004 sqft', u'Parcel #: 0271613411', u'Zillow Home ID: 19116758']	http://photos3.zillowstatic.com/p_e/ISlqm9ep1ptwf60000000000.jpg	216000.0	[]	2004.0	CA	158835.0	96104	19116758
1.0	3	Cedarville	[u'Lot: 6,098 sqft', u'Single Family', u'Built in 1924', u'All time views: 150', u'Last sold: Feb 2014 for $69,500', u'Last sale price/sqft: $65', u'Parking: Garage - Detached, 1 space', u'Access- All Year', u'Fenced Part', u'Landscape- Part', u'Lawn', u'Oven-range', u'Refrigerator', u'RV/ Boat Parking', u'Trees', u'View of Mountains', u'W/D Hookups', u'Washer & Dryer', u'Water Heater', u'Roof type: Metal', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,068 sqft', u'Parcel #: 0272011811', u'Zillow Home ID: 19116793']	http://photos1.zillowstatic.com/p_e/ISdkc3n5bp1iwl1000000000.jpg	69500.0	[]	1068.0	CA	112295.0	96104	19116793
2.0	3	Cedarville	[u'Lot: 6 acres', u'Single Family', u'Built in 1990', u'All time views: 1,809', u'Last sold: Oct 2013 for $156,000', u'Last sale price/sqft: $72', u'Fireplace', u'Floor size: 2,180 sqft', u'Parcel #: 0321507411', u'Zillow Home ID: 19117002']	http://photos3.zillowstatic.com/p_e/IS-17n6cxun2p3rx.jpg	156000.0	[]	2180.0	CA	237017.0	96104	19117002
1.0	2	Cedarville	[u'Lot: 0.6 acres', u'Single Family', u'Built in 1944', u'All time views: 1,046', u'Last sold: Oct 2013 for $44,100', u'Last sale price/sqft: $40', u'Parking: Garage - Detached, 1 space', u'Access- All Year', u'Fenced Full', u'Garden Area', u'Landscape- Part', u'Lawn', u'Microwave', u'Out Buildings', u'RV/ Boat Parking', u'Storage Shed', u'Trees', u'View of Mountains', u'W/D Hookups', u'Water Heater', u'Window Coverings', u'Work Shop', u'Roof type: Metal', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,108 sqft', u'Parcel #: 0271920911', u'Zillow Home ID: 19116779']	http://photos1.zillowstatic.com/p_e/IS-ss4qboki7vj1.jpg	44100.0	[]	1108.0	CA	113423.0	96104	19116779
1.0	3	Cedarville	[u'Lot: 0.78 acres', u'Single Family', u'Built in 1909', u'All time views: 2,703', u'Last sold: Mar 2016 for $52,000', u'Last sale price/sqft: $36', u'View: Mountain', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Lawn', u'Features And Inclusions: Trees', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Features And Inclusions: Oven-range', u'Property Style: 1 story above ground', u'Features And Inclusions: Fenced Part', u'Property Style: Traditional', u'Features And Inclusions: Gutters & Downspouts', u'Features And Inclusions: Garden Area', u'Property Style: Fixer Upper', u'Features And Inclusions: Out Buildings', u'Foundation: Crawl Space', u'Property Type: Single Family Building', u'Exterior Construction: Lap', u'Features And Inclusions: Deck', u'Roof Type: Wood', u'Heating: Propane Heater', u'Allow Address Display: Yes', u'Allow Automated Valuations: Yes', u'Allow Public Commentary: Yes', u'Lawn', u'Access- All Year', u'Oven-range', u'Trees', u'Utilities: Power: Line On Meter', u'D Hookups', u'Fenced Part', u'View of Mountains', u'Utilities: Assessments Paid', u'Utilities: Municipal', u'Utilities: Legal Access: Yes', u'Utilities: Garbage Collection', u'Utilities: Septic: Has Tank', u'Out Buildings', u'Gutters & Downspouts', u'Water Heater', u'Garden Area', u'Deck', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,432 sqft', u'Parcel #: 0271410411', u'Zillow Home ID: 19116723']	http://photos2.zillowstatic.com/p_e/IS529q9570kvmx0000000000.jpg	52000.0	[]	1432.0	CA	68389.0	96104	19116723
1.0	4	Cedarville	[u'Lot: 0.47 acres', u'Single Family', u'Built in 1926', u'All time views: 1,751', u'Last sold: Oct 2015 for $128,000', u'Last sale price/sqft: $67', u'Parking: Garage - Detached, 2 spaces', u'View: Mountain', u'Foundation: Slab on Grade', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Trees', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Features And Inclusions: Window Coverings', u'Features And Inclusions: Oven-range', u'Features And Inclusions: Fenced Part', u'Features And Inclusions: Landscape- Part', u'Features And Inclusions: Gutters & Downspouts', u'Features And Inclusions: Work Shop', u'Features And Inclusions: Out Buildings', u'Features And Inclusions: Wood Burning Stove', u'Property Style: Farm House', u'Property Type: Single Family Building', u'Features And Inclusions: Deck', u'Heating: Propane Heater', u'Refrigerator', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 9', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,920 sqft', u'Parcel #: 0271211011', u'Zillow Home ID: 19116708']	http://photos3.zillowstatic.com/p_e/IS9hrxcml8cam11000000000.jpg	128000.0	[]	1920.0	CA	139163.0	96104	19116708
1.0	2	Cedarville	[u'Lot: 10,454 sqft', u'Single Family', u'Built in 1958', u'All time views: 1,766', u'Cooling: None', u'Heating: Baseboard, Stove', u'Last sold: Nov 2014 for $90,000', u'Last sale price/sqft: $83', u'Fireplace', u'Parking: 1 space', u'View: Mountain', u'Dryer', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,089 sqft', u'Heating: Electric, Gas, Other', u'Laundry: In Unit', u'Parcel #: 0271111511', u'Zillow Home ID: 19116680']	http://photos1.zillowstatic.com/p_e/ISptj0tz3f907x1000000000.jpg	90000.0	[]	1089.0	CA	114530.0	96104	19116680
3.0	2	Cedarville	[u'Lot: 1 acre', u'Single Family', u'Built in 1991', u'All time views: 2,038', u'Last sold: Nov 2014 for $216,000', u'Last sale price/sqft: $108', u'Fireplace', u'Parking: Garage - Detached, 3 spaces', u'Access- All Year', u'Barn', u'Borders River/Creek', u'Ceiling Fans', u'Central Vacuum', u'Dishwasher', u'Fenced Full', u'Garden Area', u'Handicap Features', u'Horse Property', u'Landscape- Full', u'Lawn', u'Oven-range', u'Patio: covered', u'Patio: uncovered', u'Porch/Deck', u'Refrigerator', u'RV/ Boat Parking', u'Sprinkler Drip System', u'Sprinklers Automatic', u'Trees', u'View of Mountains', u'W/D Hookups', u'Walk-in Closets', u'Water Heater', u'Window Coverings', u'Wood Burning Stove', u'Work Shop', u'Roof type: Metal', u'Stories: 1', u'Unit count: 1', u'Floor size: 2,004 sqft', u'Parcel #: 0271613411', u'Zillow Home ID: 19116758']	http://photos3.zillowstatic.com/p_e/ISlqm9ep1ptwf60000000000.jpg	216000.0	[]	2004.0	CA	158835.0	96104	19116758
1.0	3	Cedarville	[u'Lot: 6,098 sqft', u'Single Family', u'Built in 1924', u'All time views: 151', u'Last sold: Feb 2014 for $69,500', u'Last sale price/sqft: $65', u'Parking: Garage - Detached, 1 space', u'Access- All Year', u'Fenced Part', u'Landscape- Part', u'Lawn', u'Oven-range', u'Refrigerator', u'RV/ Boat Parking', u'Trees', u'View of Mountains', u'W/D Hookups', u'Washer & Dryer', u'Water Heater', u'Roof type: Metal', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,068 sqft', u'Parcel #: 0272011811', u'Zillow Home ID: 19116793']	http://photos1.zillowstatic.com/p_e/ISdkc3n5bp1iwl1000000000.jpg	69500.0	[]	1068.0	CA	112295.0	96104	19116793
2.0	3	Cedarville	[u'Lot: 6 acres', u'Single Family', u'Built in 1990', u'All time views: 1,807', u'Last sold: Oct 2013 for $156,000', u'Last sale price/sqft: $72', u'Fireplace', u'Floor size: 2,180 sqft', u'Parcel #: 0321507411', u'Zillow Home ID: 19117002']	http://photos3.zillowstatic.com/p_e/IS-17n6cxun2p3rx.jpg	156000.0	[]	2180.0	CA	237017.0	96104	19117002
1.0	2	Cedarville	[u'Lot: 0.6 acres', u'Single Family', u'Built in 1944', u'All time views: 1,043', u'Last sold: Oct 2013 for $44,100', u'Last sale price/sqft: $40', u'Parking: Garage - Detached, 1 space', u'Access- All Year', u'Fenced Full', u'Garden Area', u'Landscape- Part', u'Lawn', u'Microwave', u'Out Buildings', u'RV/ Boat Parking', u'Storage Shed', u'Trees', u'View of Mountains', u'W/D Hookups', u'Water Heater', u'Window Coverings', u'Work Shop', u'Roof type: Metal', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,108 sqft', u'Parcel #: 0271920911', u'Zillow Home ID: 19116779']	http://photos1.zillowstatic.com/p_e/IS-ss4qboki7vj1.jpg	44100.0	[]	1108.0	CA	113423.0	96104	19116779
1.0	3	Cedarville	[u'Lot: 0.78 acres', u'Single Family', u'Built in 1909', u'All time views: 2,699', u'Last sold: Mar 2016 for $52,000', u'Last sale price/sqft: $36', u'View: Mountain', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Lawn', u'Features And Inclusions: Trees', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Features And Inclusions: Oven-range', u'Property Style: 1 story above ground', u'Features And Inclusions: Fenced Part', u'Property Style: Traditional', u'Features And Inclusions: Gutters & Downspouts', u'Features And Inclusions: Garden Area', u'Property Style: Fixer Upper', u'Features And Inclusions: Out Buildings', u'Foundation: Crawl Space', u'Property Type: Single Family Building', u'Exterior Construction: Lap', u'Features And Inclusions: Deck', u'Roof Type: Wood', u'Heating: Propane Heater', u'Allow Address Display: Yes', u'Allow Automated Valuations: Yes', u'Allow Public Commentary: Yes', u'Lawn', u'Access- All Year', u'Oven-range', u'Trees', u'Utilities: Power: Line On Meter', u'D Hookups', u'Fenced Part', u'View of Mountains', u'Utilities: Assessments Paid', u'Utilities: Municipal', u'Utilities: Legal Access: Yes', u'Utilities: Garbage Collection', u'Utilities: Septic: Has Tank', u'Out Buildings', u'Gutters & Downspouts', u'Water Heater', u'Garden Area', u'Deck', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,432 sqft', u'Parcel #: 0271410411', u'Zillow Home ID: 19116723']	http://photos2.zillowstatic.com/p_e/IS529q9570kvmx0000000000.jpg	52000.0	[]	1432.0	CA	68389.0	96104	19116723
1.0	4	Cedarville	[u'Lot: 0.47 acres', u'Single Family', u'Built in 1926', u'All time views: 1,748', u'Last sold: Oct 2015 for $128,000', u'Last sale price/sqft: $67', u'Parking: Garage - Detached, 2 spaces', u'View: Mountain', u'Foundation: Slab on Grade', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Trees', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Features And Inclusions: Window Coverings', u'Features And Inclusions: Oven-range', u'Features And Inclusions: Fenced Part', u'Features And Inclusions: Landscape- Part', u'Features And Inclusions: Gutters & Downspouts', u'Features And Inclusions: Work Shop', u'Features And Inclusions: Out Buildings', u'Features And Inclusions: Wood Burning Stove', u'Property Style: Farm House', u'Property Type: Single Family Building', u'Features And Inclusions: Deck', u'Heating: Propane Heater', u'Refrigerator', u'Exterior material: Wood', u'Roof type: Metal', u'Room count: 9', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,920 sqft', u'Parcel #: 0271211011', u'Zillow Home ID: 19116708']	http://photos3.zillowstatic.com/p_e/IS9hrxcml8cam11000000000.jpg	128000.0	[]	1920.0	CA	139163.0	96104	19116708
1.0	2	Cedarville	[u'Lot: 10,454 sqft', u'Single Family', u'Built in 1958', u'All time views: 1,765', u'Cooling: None', u'Heating: Baseboard, Stove', u'Last sold: Nov 2014 for $90,000', u'Last sale price/sqft: $83', u'Fireplace', u'Parking: 1 space', u'View: Mountain', u'Dryer', u'Range / Oven', u'Refrigerator', u'Exterior material: Brick', u'Roof type: Other', u'Stories: 1', u'Structure type: Other', u'Unit count: 1', u'Floor size: 1,089 sqft', u'Heating: Electric, Gas, Other', u'Laundry: In Unit', u'Parcel #: 0271111511', u'Zillow Home ID: 19116680']	http://photos1.zillowstatic.com/p_e/ISptj0tz3f907x1000000000.jpg	90000.0	[]	1089.0	CA	114530.0	96104	19116680
3.0	2	Cedarville	[u'Lot: 1 acre', u'Single Family', u'Built in 1991', u'All time views: 2,036', u'Last sold: Nov 2014 for $216,000', u'Last sale price/sqft: $108', u'Fireplace', u'Parking: Garage - Detached, 3 spaces', u'Access- All Year', u'Barn', u'Borders River/Creek', u'Ceiling Fans', u'Central Vacuum', u'Dishwasher', u'Fenced Full', u'Garden Area', u'Handicap Features', u'Horse Property', u'Landscape- Full', u'Lawn', u'Oven-range', u'Patio: covered', u'Patio: uncovered', u'Porch/Deck', u'Refrigerator', u'RV/ Boat Parking', u'Sprinkler Drip System', u'Sprinklers Automatic', u'Trees', u'View of Mountains', u'W/D Hookups', u'Walk-in Closets', u'Water Heater', u'Window Coverings', u'Wood Burning Stove', u'Work Shop', u'Roof type: Metal', u'Stories: 1', u'Unit count: 1', u'Floor size: 2,004 sqft', u'Parcel #: 0271613411', u'Zillow Home ID: 19116758']	http://photos3.zillowstatic.com/p_e/ISlqm9ep1ptwf60000000000.jpg	216000.0	[]	2004.0	CA	158835.0	96104	19116758
1.0	3	Cedarville	[u'Lot: 6,098 sqft', u'Single Family', u'Built in 1924', u'All time views: 152', u'Last sold: Feb 2014 for $69,500', u'Last sale price/sqft: $65', u'Parking: Garage - Detached, 1 space', u'Access- All Year', u'Fenced Part', u'Landscape- Part', u'Lawn', u'Oven-range', u'Refrigerator', u'RV/ Boat Parking', u'Trees', u'View of Mountains', u'W/D Hookups', u'Washer & Dryer', u'Water Heater', u'Roof type: Metal', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,068 sqft', u'Parcel #: 0272011811', u'Zillow Home ID: 19116793']	http://photos1.zillowstatic.com/p_e/ISdkc3n5bp1iwl1000000000.jpg	69500.0	[]	1068.0	CA	112295.0	96104	19116793
2.0	3	Cedarville	[u'Lot: 6 acres', u'Single Family', u'Built in 1990', u'All time views: 1,812', u'Last sold: Oct 2013 for $156,000', u'Last sale price/sqft: $72', u'Fireplace', u'Floor size: 2,180 sqft', u'Parcel #: 0321507411', u'Zillow Home ID: 19117002']	http://photos3.zillowstatic.com/p_e/IS-17n6cxun2p3rx.jpg	156000.0	[]	2180.0	CA	237017.0	96104	19117002
1.0	2	Cedarville	[u'Lot: 0.6 acres', u'Single Family', u'Built in 1944', u'All time views: 1,048', u'Last sold: Oct 2013 for $44,100', u'Last sale price/sqft: $40', u'Parking: Garage - Detached, 1 space', u'Access- All Year', u'Fenced Full', u'Garden Area', u'Landscape- Part', u'Lawn', u'Microwave', u'Out Buildings', u'RV/ Boat Parking', u'Storage Shed', u'Trees', u'View of Mountains', u'W/D Hookups', u'Water Heater', u'Window Coverings', u'Work Shop', u'Roof type: Metal', u'Stories: 2', u'Unit count: 1', u'Floor size: 1,108 sqft', u'Parcel #: 0271920911', u'Zillow Home ID: 19116779']	http://photos1.zillowstatic.com/p_e/IS-ss4qboki7vj1.jpg	44100.0	[]	1108.0	CA	113423.0	96104	19116779
1.0	3	Cedarville	[u'Lot: 0.78 acres', u'Single Family', u'Built in 1909', u'All time views: 2,700', u'Last sold: Mar 2016 for $52,000', u'Last sale price/sqft: $36', u'View: Mountain', u'Features And Inclusions: Access- All Year', u'Features And Inclusions: Lawn', u'Features And Inclusions: Trees', u'Features And Inclusions: D Hookups', u'Features And Inclusions: Water Heater', u'Features And Inclusions: Oven-range', u'Property Style: 1 story above ground', u'Features And Inclusions: Fenced Part', u'Property Style: Traditional', u'Features And Inclusions: Gutters & Downspouts', u'Features And Inclusions: Garden Area', u'Property Style: Fixer Upper', u'Features And Inclusions: Out Buildings', u'Foundation: Crawl Space', u'Property Type: Single Family Building', u'Exterior Construction: Lap', u'Features And Inclusions: Deck', u'Roof Type: Wood', u'Heating: Propane Heater', u'Allow Address Display: Yes', u'Allow Automated Valuations: Yes', u'Allow Public Commentary: Yes', u'Lawn', u'Access- All Year', u'Oven-range', u'Trees', u'Utilities: Power: Line On Meter', u'D Hookups', u'Fenced Part', u'View of Mountains', u'Utilities: Assessments Paid', u'Utilities: Municipal', u'Utilities: Legal Access: Yes', u'Utilities: Garbage Collection', u'Utilities: Septic: Has Tank', u'Out Buildings', u'Gutters & Downspouts', u'Water Heater', u'Garden Area', u'Deck', u'Exterior material: Wood', u'Roof type: Composition', u'Stories: 0', u'Unit count: 1', u'Floor size: 1,432 sqft', u'Parcel #: 0271410411', u'Zillow Home ID: 19116723']	http://photos2.zillowstatic.com/p_e/IS529q9570kvmx0000000000.jpg	52000.0	[]	1432.0	CA	68389.0	96104	19116723
