baths	beds	city	facts	img_url	last_sold	permits	sqft	state	zestimate	zip	zpid
3.0	3	Creswell	[u'Lot: 0.72 acres', u'Single Family', u'Built in 1986', u'All time views: 657', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Oct 2015 for $360,000', u'Last sale price/sqft: $150', u'1324 sqft basement', u'Fireplace', u'Exterior material: Wood', u'Room count: 6', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,400 sqft', u'Parcel #: 7734.00-51-5254', u'Zillow Home ID: 121758534']	http://photos2.zillowstatic.com/p_e/ISdg9um7a4wtiu1000000000.jpg	360000.0	[]	2400.0	NC	359498.0	27928	121758534
2.0	3	Creswell	[u'Lot: 0.68 acres', u'Single Family', u'Built in 1999', u'All time views: 341', u'Cooling: Other', u'Last sold: Sep 2014 for $70,000', u'Last sale price/sqft: $65', u'1512 sqft basement', u'Fireplace', u'Exterior material: Wood', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,077 sqft', u'Heating: Electric', u'Parcel #: 7766.00-49-5972', u'Zillow Home ID: 107068010']	http://photos1.zillowstatic.com/p_e/IS-1glmfjig4prvh.jpg	70000.0	[]	1077.0	NC	128435.0	27928	107068010
2.0	3	Creswell	[u'Lot: 0.69 acres', u'Single Family', u'Built in 1999', u'All time views: 375', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Sep 2014 for $70,000', u'Last sale price/sqft: $65', u'1288 sqft basement', u'Exterior material: Wood', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,077 sqft', u'Parcel #: 7766.00-89-7082', u'Zillow Home ID: 107068034']	http://photos2.zillowstatic.com/p_e/IS5i87frulfnoj.jpg	70000.0	[]	1077.0	NC	105636.0	27928	107068034
1.0	4	Creswell	[u'Single Family', u'Built in 1978', u'All time views: 304', u'Cooling: None', u'Last sold: Dec 2013 for $60,000', u'Last sale price/sqft: $43', u'1179 sqft basement', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,400 sqft', u'Heating: Electric', u'Parcel #: 7746.00-47-2629', u'Zillow Home ID: 107067781']	http://photos3.zillowstatic.com/p_e/IS-1t9v6v7oth4d9.jpg	60000.0	[]	1400.0	NC	97498.0	27928	107067781
3.0	3	Creswell	[u'Lot: 0.72 acres', u'Single Family', u'Built in 1986', u'All time views: 656', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Oct 2015 for $360,000', u'Last sale price/sqft: $150', u'1324 sqft basement', u'Fireplace', u'Exterior material: Wood', u'Room count: 6', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,400 sqft', u'Parcel #: 7734.00-51-5254', u'Zillow Home ID: 121758534']	http://photos2.zillowstatic.com/p_e/ISdg9um7a4wtiu1000000000.jpg	360000.0	[]	2400.0	NC	359498.0	27928	121758534
2.0	3	Creswell	[u'Lot: 0.68 acres', u'Single Family', u'Built in 1999', u'All time views: 343', u'Cooling: Other', u'Last sold: Sep 2014 for $70,000', u'Last sale price/sqft: $65', u'1512 sqft basement', u'Fireplace', u'Exterior material: Wood', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,077 sqft', u'Heating: Electric', u'Parcel #: 7766.00-49-5972', u'Zillow Home ID: 107068010']	http://photos1.zillowstatic.com/p_e/IS-1glmfjig4prvh.jpg	70000.0	[]	1077.0	NC	128435.0	27928	107068010
2.0	3	Creswell	[u'Lot: 0.69 acres', u'Single Family', u'Built in 1999', u'All time views: 376', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Sep 2014 for $70,000', u'Last sale price/sqft: $65', u'1288 sqft basement', u'Exterior material: Wood', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,077 sqft', u'Parcel #: 7766.00-89-7082', u'Zillow Home ID: 107068034']	http://photos2.zillowstatic.com/p_e/IS5i87frulfnoj.jpg	70000.0	[]	1077.0	NC	105636.0	27928	107068034
1.0	4	Creswell	[u'Single Family', u'Built in 1978', u'All time views: 303', u'Cooling: None', u'Last sold: Dec 2013 for $60,000', u'Last sale price/sqft: $43', u'1179 sqft basement', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,400 sqft', u'Heating: Electric', u'Parcel #: 7746.00-47-2629', u'Zillow Home ID: 107067781']	http://photos3.zillowstatic.com/p_e/IS-1t9v6v7oth4d9.jpg	60000.0	[]	1400.0	NC	97498.0	27928	107067781
3.0	3	Creswell	[u'Lot: 0.72 acres', u'Single Family', u'Built in 1986', u'All time views: 661', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Oct 2015 for $360,000', u'Last sale price/sqft: $150', u'1324 sqft basement', u'Fireplace', u'Exterior material: Wood', u'Room count: 6', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,400 sqft', u'Parcel #: 7734.00-51-5254', u'Zillow Home ID: 121758534']	http://photos2.zillowstatic.com/p_e/ISdg9um7a4wtiu1000000000.jpg	360000.0	[]	2400.0	NC	359498.0	27928	121758534
2.0	3	Creswell	[u'Lot: 0.68 acres', u'Single Family', u'Built in 1999', u'All time views: 346', u'Cooling: Other', u'Last sold: Sep 2014 for $70,000', u'Last sale price/sqft: $65', u'1512 sqft basement', u'Fireplace', u'Exterior material: Wood', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,077 sqft', u'Heating: Electric', u'Parcel #: 7766.00-49-5972', u'Zillow Home ID: 107068010']	http://photos1.zillowstatic.com/p_e/IS-1glmfjig4prvh.jpg	70000.0	[]	1077.0	NC	128435.0	27928	107068010
2.0	3	Creswell	[u'Lot: 0.69 acres', u'Single Family', u'Built in 1999', u'All time views: 373', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Sep 2014 for $70,000', u'Last sale price/sqft: $65', u'1288 sqft basement', u'Exterior material: Wood', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,077 sqft', u'Parcel #: 7766.00-89-7082', u'Zillow Home ID: 107068034']	http://photos2.zillowstatic.com/p_e/IS5i87frulfnoj.jpg	70000.0	[]	1077.0	NC	105636.0	27928	107068034
1.0	4	Creswell	[u'Single Family', u'Built in 1978', u'All time views: 310', u'Cooling: None', u'Last sold: Dec 2013 for $60,000', u'Last sale price/sqft: $43', u'1179 sqft basement', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,400 sqft', u'Heating: Electric', u'Parcel #: 7746.00-47-2629', u'Zillow Home ID: 107067781']	http://photos3.zillowstatic.com/p_e/IS-1t9v6v7oth4d9.jpg	60000.0	[]	1400.0	NC	97498.0	27928	107067781
3.0	3	Creswell	[u'Lot: 0.72 acres', u'Single Family', u'Built in 1986', u'All time views: 658', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Oct 2015 for $360,000', u'Last sale price/sqft: $150', u'1324 sqft basement', u'Fireplace', u'Exterior material: Wood', u'Room count: 6', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,400 sqft', u'Parcel #: 7734.00-51-5254', u'Zillow Home ID: 121758534']	http://photos2.zillowstatic.com/p_e/ISdg9um7a4wtiu1000000000.jpg	360000.0	[]	2400.0	NC	359498.0	27928	121758534
2.0	3	Creswell	[u'Lot: 0.68 acres', u'Single Family', u'Built in 1999', u'All time views: 356', u'Cooling: Other', u'Last sold: Sep 2014 for $70,000', u'Last sale price/sqft: $65', u'1512 sqft basement', u'Fireplace', u'Exterior material: Wood', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,077 sqft', u'Heating: Electric', u'Parcel #: 7766.00-49-5972', u'Zillow Home ID: 107068010']	http://photos1.zillowstatic.com/p_e/IS-1glmfjig4prvh.jpg	70000.0	[]	1077.0	NC	128435.0	27928	107068010
2.0	3	Creswell	[u'Lot: 0.69 acres', u'Single Family', u'Built in 1999', u'All time views: 357', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Sep 2014 for $70,000', u'Last sale price/sqft: $65', u'1288 sqft basement', u'Exterior material: Wood', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,077 sqft', u'Parcel #: 7766.00-89-7082', u'Zillow Home ID: 107068034']	http://photos2.zillowstatic.com/p_e/IS5i87frulfnoj.jpg	70000.0	[]	1077.0	NC	105636.0	27928	107068034
1.0	4	Creswell	[u'Single Family', u'Built in 1978', u'All time views: 301', u'Cooling: None', u'Last sold: Dec 2013 for $60,000', u'Last sale price/sqft: $43', u'1179 sqft basement', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,400 sqft', u'Heating: Electric', u'Parcel #: 7746.00-47-2629', u'Zillow Home ID: 107067781']	http://photos3.zillowstatic.com/p_e/IS-1t9v6v7oth4d9.jpg	60000.0	[]	1400.0	NC	97498.0	27928	107067781
3.0	3	Creswell	[u'Lot: 0.72 acres', u'Single Family', u'Built in 1986', u'All time views: 660', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Oct 2015 for $360,000', u'Last sale price/sqft: $150', u'1324 sqft basement', u'Fireplace', u'Exterior material: Wood', u'Room count: 6', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,400 sqft', u'Parcel #: 7734.00-51-5254', u'Zillow Home ID: 121758534']	http://photos2.zillowstatic.com/p_e/ISdg9um7a4wtiu1000000000.jpg	360000.0	[]	2400.0	NC	359498.0	27928	121758534
2.0	3	Creswell	[u'Lot: 0.68 acres', u'Single Family', u'Built in 1999', u'All time views: 344', u'Cooling: Other', u'Last sold: Sep 2014 for $70,000', u'Last sale price/sqft: $65', u'1512 sqft basement', u'Fireplace', u'Exterior material: Wood', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,077 sqft', u'Heating: Electric', u'Parcel #: 7766.00-49-5972', u'Zillow Home ID: 107068010']	http://photos1.zillowstatic.com/p_e/IS-1glmfjig4prvh.jpg	70000.0	[]	1077.0	NC	128435.0	27928	107068010
2.0	3	Creswell	[u'Lot: 0.69 acres', u'Single Family', u'Built in 1999', u'All time views: 372', u'Cooling: Other', u'Heating: Forced air', u'Last sold: Sep 2014 for $70,000', u'Last sale price/sqft: $65', u'1288 sqft basement', u'Exterior material: Wood', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,077 sqft', u'Parcel #: 7766.00-89-7082', u'Zillow Home ID: 107068034']	http://photos2.zillowstatic.com/p_e/IS5i87frulfnoj.jpg	70000.0	[]	1077.0	NC	105636.0	27928	107068034
1.0	4	Creswell	[u'Single Family', u'Built in 1978', u'All time views: 294', u'Cooling: None', u'Last sold: Dec 2013 for $60,000', u'Last sale price/sqft: $43', u'1179 sqft basement', u'Exterior material: Brick', u'Room count: 6', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,400 sqft', u'Heating: Electric', u'Parcel #: 7746.00-47-2629', u'Zillow Home ID: 107067781']	http://photos3.zillowstatic.com/p_e/IS-1t9v6v7oth4d9.jpg	60000.0	[]	1400.0	NC	97498.0	27928	107067781
3.0	3	Creswell	[u'Lot: 0.72 acres', u'Single Family', u'Built in 1986', u'All time views: 665', u'Cooling: Other', u'Heating: Heat pump', u'Last sold: Oct 2015 for $360,000', u'Last sale price/sqft: $150', u'1324 sqft basement', u'Fireplace', u'Exterior material: Wood', u'Room count: 6', u'Stories: 2', u'Unit count: 1', u'Floor size: 2,400 sqft', u'Parcel #: 7734.00-51-5254', u'Zillow Home ID: 121758534']	http://photos2.zillowstatic.com/p_e/ISdg9um7a4wtiu1000000000.jpg	360000.0	[]	2400.0	NC	359498.0	27928	121758534
2.0	3	Creswell	[u'Lot: 0.68 acres', u'Single Family', u'Built in 1999', u'All time views: 342', u'Cooling: Other', u'Last sold: Sep 2014 for $70,000', u'Last sale price/sqft: $65', u'1512 sqft basement', u'Fireplace', u'Exterior material: Wood', u'Room count: 7', u'Stories: 1', u'Unit count: 1', u'Floor size: 1,077 sqft', u'Heating: Electric', u'Parcel #: 7766.00-49-5972', u'Zillow Home ID: 107068010']	http://photos1.zillowstatic.com/p_e/IS-1glmfjig4prvh.jpg	70000.0	[]	1077.0	NC	128435.0	27928	107068010
